"Soort misdrijf";"Perioden";"Regio's";"Geregistreerde misdrijven/Totaal geregistreerde misdrijven (aantal)"
"Misdrijven, totaal";"2010";"Amsterdam";100125
"Misdrijven, totaal";"2011";"Amsterdam";103375
"Misdrijven, totaal";"2012";"Amsterdam";101505
"Misdrijven, totaal";"2013";"Amsterdam";101650
"Misdrijven, totaal";"2014";"Amsterdam";96475
"Misdrijven, totaal";"2015";"Amsterdam";96185
"Misdrijven, totaal";"2016";"Amsterdam";91695
"Misdrijven, totaal";"2017";"Amsterdam";86745
"Misdrijven, totaal";"2018";"Amsterdam";81885
"Misdrijven, totaal";"2019";"Amsterdam";82040
"Misdrijven, totaal";"2020";"Amsterdam";71430
"Misdrijven, totaal";"2021";"Amsterdam";64900
"Misdrijven, totaal";"2022*";"Amsterdam";76740
"Misdrijven, totaal";"2023*";"Amsterdam";81990
"1 Vermogensmisdrijven";"2010";"Amsterdam";69985
"1 Vermogensmisdrijven";"2011";"Amsterdam";72390
"1 Vermogensmisdrijven";"2012";"Amsterdam";73635
"1 Vermogensmisdrijven";"2013";"Amsterdam";75520
"1 Vermogensmisdrijven";"2014";"Amsterdam";70465
"1 Vermogensmisdrijven";"2015";"Amsterdam";70930
"1 Vermogensmisdrijven";"2016";"Amsterdam";65955
"1 Vermogensmisdrijven";"2017";"Amsterdam";61275
"1 Vermogensmisdrijven";"2018";"Amsterdam";57085
"1 Vermogensmisdrijven";"2019";"Amsterdam";56330
"1 Vermogensmisdrijven";"2020";"Amsterdam";47375
"1 Vermogensmisdrijven";"2021";"Amsterdam";39880
"1 Vermogensmisdrijven";"2022*";"Amsterdam";50025
"1 Vermogensmisdrijven";"2023*";"Amsterdam";55320
"11 Diefstal/verduistering en inbraak";"2010";"Amsterdam";65350
"11 Diefstal/verduistering en inbraak";"2011";"Amsterdam";67015
"11 Diefstal/verduistering en inbraak";"2012";"Amsterdam";68260
"11 Diefstal/verduistering en inbraak";"2013";"Amsterdam";71425
"11 Diefstal/verduistering en inbraak";"2014";"Amsterdam";66450
"11 Diefstal/verduistering en inbraak";"2015";"Amsterdam";65525
"11 Diefstal/verduistering en inbraak";"2016";"Amsterdam";60115
"11 Diefstal/verduistering en inbraak";"2017";"Amsterdam";55490
"11 Diefstal/verduistering en inbraak";"2018";"Amsterdam";51095
"11 Diefstal/verduistering en inbraak";"2019";"Amsterdam";49295
"11 Diefstal/verduistering en inbraak";"2020";"Amsterdam";38765
"11 Diefstal/verduistering en inbraak";"2021";"Amsterdam";31860
