"Wijken en buurten";"Inkomen/Inkomen van personen/Aantal inkomensontvangers   (aantal)";"Inkomen/Inkomen van personen/Gemiddeld inkomen per inkomensontvanger  (x 1 000 euro)";"Inkomen/Inkomen van personen/Gemiddeld inkomen per inwoner  (x 1 000 euro)";"Inkomen/Inkomen van personen/40% personen met laagste inkomen (%)";"Inkomen/Inkomen van personen/20% personen met hoogste inkomen (%)";"Inkomen/Inkomen van huishoudens/Gem. gestandaardiseerd inkomen van huish (x 1 000 euro)";"Inkomen/Inkomen van huishoudens/40% huishoudens met laagste inkomen (%)";"Inkomen/Inkomen van huishoudens/20% huishoudens met hoogste inkomen (%)";"Inkomen/Inkomen van huishoudens/Huishoudens met een laag inkomen (%)";"Inkomen/Inkomen van huishoudens/Huish. onder of rond sociaal minimum (%)";"Inkomen/Inkomen van huishoudens/Huishoudens tot 110% van sociaal minimum (%)";"Inkomen/Inkomen van huishoudens/Huishoudens tot 120% van sociaal minimum (%)";"Inkomen/Inkomen van huishoudens/Mediaan vermogen van particuliere huish. (x 1 000 euro)"
"Amsterdam";673500;36,6;29,7;39,7;23,9;29,8;51,6;17,1;13,5;12,7;17,1;20,2;7,6
"Burgwallen-Oude Zijde";3700;35,1;31,8;37,7;24,3;27,8;59,1;12,5;14;13,2;15,8;17,9;3,4
"Kop Zeedijk";900;38;35;30,8;26,9;28,9;54,6;11,4;12,7;10,9;12,8;14,1;6,3
"Oude Kerk e.o.";600;33,3;31;41,3;22,6;26,4;63,8;13,8;17,1;15,8;18,8;21,5;1,7
"Burgwallen Oost";1300;32,6;29;40,8;20,8;26,2;61,7;10,3;13,5;13,9;16,7;19,3;2,3
"Nes e.o.";300;39,5;35,6;34,1;32,8;34,2;52,8;17,2;9;7;10;10,4;4,3
"BG-terrein e.o.";500;36,1;32,2;39,6;25,8;27,6;58,7;15,5;16,6;16,3;18,8;21,1;4,8
"Burgwallen-Nieuwe Zijde";3400;39,5;35,3;33,5;27,4;30;56;13,5;12,4;11,3;13,8;15,9;4,7
"Stationsplein e.o.";0;;;;;;;;;;;;
"Hemelrijk";500;42,9;40,2;31;28,8;33,9;52,7;12,8;11,6;11,3;11,9;13,9;7
"Nieuwendijk Noord";400;35,2;30,7;36;25,7;26,9;59,3;12,5;15,4;13,4;16,9;18,9;2,8
"Spuistraat Noord";700;38;33,9;34,6;26,9;28,9;56,4;13,6;12,8;11,7;14,1;15;3,2
"Nieuwe Kerk e.o.";700;39,9;35,6;32,4;28;31,5;49,8;14,1;10;8,4;9,8;11,3;5,6
"Spuistraat Zuid";600;39,7;34,3;37,2;28,1;29,3;61,3;15;15,6;14,1;18,5;21,8;8,2
"Begijnhofbuurt";400;35,8;33,3;31,5;22,8;25,7;64,9;9,4;11,4;11,4;15,4;19,5;3,1
"Kalverdriehoek";200;48,3;43,4;29,4;33,5;35,9;44,4;18,9;7,9;7,1;8,6;9,3;3,7
"Grachtengordel-West";5200;70,3;59,7;30;41,6;54,6;39;31,9;8,7;7,4;9,1;10,3;102,9
"Langestraat e.o.";1500;61,5;52,1;30,5;40,1;47,1;36,7;32,7;7,6;5,6;7,5;8,7;229,2
"Leliegracht e.o.";1300;68,9;57,4;30,5;41,7;56,2;39;31,9;9,8;8,2;10;11,1;75,2
"Felix Meritisbuurt";1700;74,5;63,8;28,1;42,8;56,5;41,1;30,2;9,8;9,1;10,7;11,9;75,6
"Leidsegracht Noord";600;85,3;73,7;32,9;42,3;64,5;38,8;35,1;6;5,2;6,3;8,2;69,3
"Grachtengordel-Zuid";4300;67,1;56,3;28,3;40,3;55,9;40;28,3;8,2;7,5;8,6;9,7;53,2
"Spiegelbuurt";700;62,4;51,9;23,4;43,3;50,2;37,9;30;7,2;7;7,4;7,7;68,2
"Gouden Bocht";100;88,1;75,5;27,8;45,4;;;;;;;;
"Van Loonbuurt";1100;74,8;61,5;29,1;40,1;71,8;38,3;30,7;8,6;8,2;9,1;9,5;115,5
"Amstelveldbuurt";1200;71,6;58,4;30;41,4;56,2;38,3;30;8,5;8;9,4;11;169
"Rembrandtpleinbuurt";400;51,2;47;22,3;35,2;39,3;47,9;18,8;7;6,3;7,3;8,3;7,7
"Reguliersbuurt";300;38,4;34,5;38,5;29,8;28,1;57,9;14,6;12;9,2;10,9;12,5;1,9
"Leidsegracht Zuid";500;70,7;59,7;28,2;43,5;55,4;33,2;32,7;8,2;6,4;7,9;10,5;71,1
"Nieuwmarkt/Lastage";8100;42;36,5;35,2;29,6;34,1;52,8;18,6;12,2;13;16,6;18,6;18
"Oosterdokseiland";400;66;54,5;21,7;46,8;52;31;36,2;7,1;6,3;7,8;9,8;40,6
"Scheepvaarthuisbuurt";600;43,8;38,1;30,7;33,5;34,1;46,1;23,4;5,8;6,1;6,8;7,6;20
"Rapenburg";700;40;32,9;36,2;28,6;30,6;52,5;18,8;10,4;10,4;14,1;15,2;10,4
"Lastage";900;44,5;38,5;33,8;31,6;33,4;50,7;18,8;12,9;12,2;15,3;17,1;20,8
"Nieuwmarkt";1400;32,4;28,4;45,1;19,9;27,3;64,7;11,7;17,7;19,2;25,5;28,5;8,6
"Uilenburg";1000;48,7;42,9;30,5;36,3;49,3;49;22,8;12,9;12,4;15,6;17,1;35,8
"Valkenburg";1000;42,2;36,6;33,4;32;32,1;50,3;19,3;7,8;10,4;14,1;16;37,6
"Zuiderkerkbuurt";1300;39;35,3;37,5;26,6;30,4;56,2;16,1;13;15,2;18,7;20,8;14,6
"Waterloopleinbuurt";800;40;35;33,8;26,8;30,9;51,9;16,6;13,7;13,3;16,3;18,8;17,5
"Haarlemmerbuurt";7600;43,4;36,8;35,8;31,1;34,7;48,7;20,7;13,2;12,7;16,6;19,9;24
"Westerdokseiland";1500;54,7;44,5;32,5;42,3;43,3;32,2;34,1;8,9;9,7;12,3;15,8;129,6
"Haarlemmerbuurt Oost";1200;42,3;36,7;33,6;29,3;37,7;51,5;16,9;11,5;10,9;15,8;18,4;22,2
"Haarlemmerbuurt West";2000;40;34,2;36,8;27,2;32;52;18,2;14,1;14,2;17,4;20,9;15,2
"Westelijke eilanden";2400;41,8;35,3;37,4;29,7;32,7;50;20,3;13,9;12,8;16,8;19,8;29,9
"Planciusbuurt Noord";300;33,4;30,1;35,8;25,2;25,2;61,6;6,7;20,6;16,7;23,2;26,2;2,3
"Planciusbuurt Zuid";100;27,3;24,2;48,9;14,5;20,8;79,6;3,5;29,7;25,2;36;42,3;2
"Jordaan";16700;41,2;36,1;37,1;27,7;32;54,6;16,5;14;13,5;18;20,7;14,7
"Driehoekbuurt";2300;39,7;34,7;38,4;26,9;30,4;55,2;15;15,3;14;18,4;20,9;13,9
"Bloemgrachtbuurt";2500;48,4;41,4;33,4;31,7;37,8;48,8;21,3;10,2;10,6;14,5;16,8;25,9
"Marnixbuurt Noord";1300;34,1;29,8;42,5;22,5;26,9;60;12,4;16,1;16,1;22,4;25,9;6,6
"Zaagpoortbuurt";800;31,2;29,1;41,6;18,2;23,5;72,1;6,8;20,1;17,1;23,8;27,1;1,7
"Marnixbuurt Midden";200;37,6;33,1;42,9;28,2;29,3;52;18,1;12,1;11,2;12,1;15;21,8
"Elandsgrachtbuurt";3700;41,5;36,4;36,7;28;31,5;54,7;16,8;13,8;14,3;18,2;21;14,3
"Passeerdersgrachtbuurt";700;52,3;46,2;32,3;33,6;38;48,4;19,3;13,3;11,2;16;19,2;41,1
"Groenmarktkadebuurt";200;43,6;40,1;28,6;37,9;38,3;37,5;25;6;7,8;7,8;8,6;15
"Marnixbuurt Zuid";600;39,3;36,1;32,8;27,1;31,8;58,3;11,6;14,7;12,6;16,7;19,4;18,1
"Anjeliersbuurt Noord";1800;42,4;36,7;37,5;29,3;35,8;51,6;20,7;12,4;12,4;16,5;18,8;19,6
"Anjeliersbuurt Zuid";2600;38,1;33,5;38,3;26,2;29,6;54,6;15,4;15,5;14,4;19,5;22,1;16,5
"De Weteringschans";6000;51,7;43,9;30,3;37,2;41,2;45,2;24,5;9,9;9,5;11,5;13,3;32,5
"Leidsebuurt Noordwest";200;44,2;41,5;23,4;34,2;32,6;50,5;12,5;5,5;6,1;6,1;7,3;27,7
"Leidsebuurt Zuidwest";100;40,7;34,7;32,1;27,5;32,3;61,3;16;;;;;3
"Leidsebuurt Noordoost";800;43,5;39,5;33,8;28;34,2;54,5;15,1;10,9;10,7;11,8;13,8;8,9
"Leidsebuurt Zuidoost";300;42,6;35,7;34,4;29,7;31,8;55;21;12,2;10,5;14;16,9;12,2
"Weteringbuurt";2000;53,3;44,4;28,6;37,9;42,2;43,3;24,4;9,8;8,8;11,1;12,4;36,1
"Den Texbuurt";900;53,8;44,7;33;39,9;41,7;41;30,3;9,9;9,2;11,9;14,3;50,3
"Utrechtsebuurt Zuid";1000;51,6;44,2;31,9;38,4;46,4;44,3;27,1;9,9;10,8;13,6;15,6;52,7
"Frederikspleinbuurt";700;62,6;51,6;25,7;46,7;47,7;35,8;33,5;8,9;8,5;10;11,4;110,7
"Weesperbuurt/Plantage";6000;47,4;41,1;34,4;32,9;35,7;50,1;21,6;12,1;11;14,8;17;19,3
"Weesperbuurt";2700;43,5;38,8;37;29,4;33;55,7;18,5;12,8;11,8;16,6;18,9;11,1
"Sarphatistrook";1600;49,9;42,7;33,5;32,5;36,3;50,8;20,6;12,7;11,8;15,4;18,1;11,5
"Plantage";1500;52,1;43,8;31,6;38,6;40,6;40,6;28,4;11,1;9,9;12;13,8;117,2
"Alexanderplein e.o.";300;46;38,2;29,3;37,7;33,6;41,8;23;8,3;6;9,7;11,6;58,9
"Oostelijke Eilanden/Kadijken";10900;36;30,7;38,8;25,5;28,7;53,5;16,5;14,2;13,3;18,1;21,5;13
"Marine-Etablissement";100;;;;;;;;;;;;
"Kattenburg";1400;26,5;23,3;50,5;15,7;22,2;64,6;11,8;10,6;12,4;17,2;21,3;3,4
"Wittenburg";1900;33,4;29,1;38,5;22,2;27,5;53,2;13,2;13,1;12,4;18;21,8;13,8
"Oostenburg";1500;35,1;30;40,5;23,7;29,7;53,8;15,8;18,8;17,3;21,9;25,7;7,7
"Czaar Peterbuurt";1900;34;28,9;39,1;23,2;26,1;60,8;12,9;18;16,1;21;24,6;4,5
"Het Funen";900;48,8;35,7;30,7;42,1;36;33,2;37,9;8,2;7,3;11,4;14;245,9
"Kazernebuurt";800;34,2;31,2;39,4;25,1;28,1;53,7;13,9;16;14,4;20,7;23,3;9,6
"Kadijken";2400;41,7;35,5;33,7;30,4;32,6;48,6;18,5;12,5;11,8;15,6;18,3;37,6
"Westelijk Havengebied";200;25,4;22,6;52;11,2;19,6;74,2;5,6;35,5;31,8;35,5;38,2;4,6
"Coenhaven/Mercuriushaven";0;;;;;;;;;;;;
"Alfa-driehoek";0;;;;;;;;;;;;
"Petroleumhaven";0;;;;;;;;;;;;
"Westhaven Noord";0;;;;;;;;;;;;
"Vervoerscentrum";0;;;;;;;;;;;;
"Amerikahaven";100;;;;;;;;;;;;
"Afrikahaven";0;;;;;;;;;;;;
"Westhaven Zuid";0;;;;;;;;;;;;
"Bedrijventerrein Sloterdijk";500;23;22,3;54,2;8,7;16,8;88,2;2,1;30;24,5;30,7;33,2;0,2
"Sloterdijk II";0;;;;;;;;;;;;
"Sloterdijk III Oost";0;;;;;;;;;;;;
"Sloterdijk III West";100;;;;;;;;;;;;
"De Heining";0;;;;;;;;;;;;
"Teleport";400;24;23,6;53,2;8,8;17,2;90,1;1,4;29,3;23,6;30,1;32,8;0,2
"Bretten Oost";0;;;;;;;;;;;;
"Bretten West";0;;;;;;;;;;;;
"Houthavens";900;49,9;41,5;25,2;42,2;39,7;32,5;30;7,9;7;8,5;9,3;221,6
"Houthavens West";400;56,8;45,3;20,9;49,7;45,1;25,6;34,9;3,7;2,8;4,1;4,1;255,8
"Houthavens Oost";600;45,5;39;27,9;37,5;36,6;36,4;27,1;10,2;9,4;10,9;12,2;193,2
"Spaarndammer- en Zeeheldenbuurt";8800;32;26,8;41,5;20,4;25,9;58,2;12,7;18,2;17,1;22,6;26,4;3,9
