"Wijken en buurten";"Bevolking/Aantal inwoners (aantal)";"Bevolking/Geslacht/Mannen (aantal)";"Bevolking/Geslacht/Vrouwen (aantal)";"Bevolking/Leeftijdsgroepen/0 tot 15 jaar (aantal)";"Bevolking/Leeftijdsgroepen/15 tot 25 jaar (aantal)";"Bevolking/Leeftijdsgroepen/25 tot 45 jaar (aantal)";"Bevolking/Leeftijdsgroepen/45 tot 65 jaar (aantal)";"Bevolking/Leeftijdsgroepen/65 jaar of ouder (aantal)";"Bevolking/Burgerlijke staat/Ongehuwd (aantal)";"Bevolking/Burgerlijke staat/Gehuwd (aantal)";"Bevolking/Burgerlijke staat/Gescheiden (aantal)";"Bevolking/Burgerlijke staat/Verweduwd (aantal)";"Bevolking/Personen met een migratieachtergrond/Westers totaal (aantal)";"Bevolking/Personen met een migratieachtergrond/Niet-westers/Niet-westers totaal (aantal)";"Bevolking/Personen met een migratieachtergrond/Niet-westers/Marokko (aantal)";"Bevolking/Personen met een migratieachtergrond/Niet-westers/Nederlandse Antillen en Aruba (aantal)";"Bevolking/Personen met een migratieachtergrond/Niet-westers/Suriname (aantal)";"Bevolking/Personen met een migratieachtergrond/Niet-westers/Turkije (aantal)";"Bevolking/Personen met een migratieachtergrond/Niet-westers/Overig niet-westers (aantal)";"Bevolking/Geboorte en sterfte/Geboorte totaal (aantal)";"Bevolking/Geboorte en sterfte/Geboorte relatief (per 1 000 inwoners)";"Bevolking/Geboorte en sterfte/Sterfte totaal (aantal)";"Bevolking/Geboorte en sterfte/Sterfte relatief (per 1 000 inwoners)";"Bevolking/Particuliere huishoudens/Huishoudens totaal (aantal)";"Bevolking/Particuliere huishoudens/Eenpersoonshuishoudens (aantal)";"Bevolking/Particuliere huishoudens/Huishoudens zonder kinderen (aantal)";"Bevolking/Particuliere huishoudens/Huishoudens met kinderen (aantal)";"Bevolking/Particuliere huishoudens/Gemiddelde huishoudensgrootte (aantal)";"Bevolking/Bevolkingsdichtheid (aantal inwoners per km²)"
"Nederland";17282163;8581086;8701077;2739819;2131944;4255450;4840946;3314004;8374133;6706554;1343033;858443;1774271;2311867;402492;161265;353909;409877;984324;169680;10;151885;9;7924691;3037622;2282297;2604772;2,1;513
"Amsterdam";862965;427787;435178;125602;108487;311068;209828;107980;555066;210221;74090;23588;161884;308231;76751;12183;64629;44080;110588;10588;12;5248;6;470223;257453;98584;114186;1,8;5214
"Burgwallen-Oude Zijde";4295;2405;1895;235;580;2150;935;400;3270;675;290;55;1400;715;35;40;80;40;510;35;8;10;3;3040;2100;695;250;1,4;12292
"Kop Zeedijk";1035;610;425;45;95;575;250;70;800;155;70;10;335;175;0;5;25;10;130;10;9;5;5;755;525;180;45;1,4;17048
"Oude Kerk e.o.";705;400;305;30;115;360;135;55;565;75;55;10;250;110;5;5;15;10;80;5;11;0;1;510;350;120;40;1,4;7989
"Burgwallen Oost";1575;865;710;95;230;755;330;170;1185;255;115;20;515;290;15;15;30;15;210;15;8;5;2;1105;765;240;95;1,4;25257
"Nes e.o.";350;180;170;20;60;185;65;25;270;65;20;5;120;35;0;5;0;5;30;0;6;0;3;235;145;70;20;1,5;6584
"BG-terrein e.o.";630;345;285;40;80;275;155;80;455;125;40;10;175;95;10;5;10;5;65;0;5;0;2;440;305;85;50;1,4;7428
"Burgwallen-Nieuwe Zijde";4125;2230;1895;215;590;2220;785;320;3215;640;235;35;1570;680;35;30;70;45;505;20;5;5;1;2915;1995;725;200;1,4;7219
"Stationsplein e.o.";0;5;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;5;0;0;1;
"Hemelrijk";600;335;270;25;85;340;120;35;485;80;35;0;235;95;0;5;15;5;70;5;7;0;2;435;305;105;25;1,4;10874
"Nieuwendijk Noord";470;270;195;20;75;255;90;20;380;55;25;0;185;95;0;0;10;10;80;5;4;0;2;335;225;90;20;1,4;8443
"Spuistraat Noord";810;435;375;45;105;435;145;70;610;150;40;5;315;120;5;5;15;10;85;5;6;0;2;565;380;145;40;1,4;16036
