"Wijken en buurten";"Bevolking/Aantal inwoners (aantal)";"Bevolking/Geslacht/Mannen (aantal)";"Bevolking/Geslacht/Vrouwen (aantal)";"Bevolking/Leeftijdsgroepen/0 tot 15 jaar (aantal)";"Bevolking/Leeftijdsgroepen/15 tot 25 jaar (aantal)";"Bevolking/Leeftijdsgroepen/25 tot 45 jaar (aantal)";"Bevolking/Leeftijdsgroepen/45 tot 65 jaar (aantal)";"Bevolking/Leeftijdsgroepen/65 jaar of ouder (aantal)";"Bevolking/Burgerlijke staat/Ongehuwd (aantal)";"Bevolking/Burgerlijke staat/Gehuwd (aantal)";"Bevolking/Burgerlijke staat/Gescheiden (aantal)";"Bevolking/Burgerlijke staat/Verweduwd (aantal)";"Bevolking/Personen met een migratieachtergrond/Westers totaal (aantal)";"Bevolking/Personen met een migratieachtergrond/Niet-westers/Niet-westers totaal (aantal)";"Bevolking/Personen met een migratieachtergrond/Niet-westers/Marokko (aantal)";"Bevolking/Personen met een migratieachtergrond/Niet-westers/Nederlandse Antillen en Aruba (aantal)";"Bevolking/Personen met een migratieachtergrond/Niet-westers/Suriname (aantal)";"Bevolking/Personen met een migratieachtergrond/Niet-westers/Turkije (aantal)";"Bevolking/Personen met een migratieachtergrond/Niet-westers/Overig niet-westers (aantal)";"Bevolking/Geboorte en sterfte/Geboorte totaal (aantal)";"Bevolking/Geboorte en sterfte/Geboorte relatief (per 1 000 inwoners)";"Bevolking/Geboorte en sterfte/Sterfte totaal (aantal)";"Bevolking/Geboorte en sterfte/Sterfte relatief (per 1 000 inwoners)";"Bevolking/Particuliere huishoudens/Huishoudens totaal (aantal)";"Bevolking/Particuliere huishoudens/Eenpersoonshuishoudens (aantal)";"Bevolking/Particuliere huishoudens/Huishoudens zonder kinderen (aantal)";"Bevolking/Particuliere huishoudens/Huishoudens met kinderen (aantal)";"Bevolking/Particuliere huishoudens/Gemiddelde huishoudensgrootte (aantal)";"Bevolking/Bevolkingsdichtheid (aantal inwoners per km²)"
"Amsterdam";873338;433550;439788;123066;109208;317606;210029;113429;565378;210833;73939;23188;173395;317131;77498;12284;63474;44360;119515;10779;12;5914;7;474875;256596;104309;113970;1,8;5277
"Burgwallen-Oude Zijde";4520;2485;2040;205;780;2140;945;445;3510;640;305;60;1525;815;35;45;100;50;585;35;8;20;5;3180;2155;780;245;1,4;12914
"Kop Zeedijk";1115;650;465;40;145;555;275;100;860;155;85;10;390;205;5;15;30;10;150;5;5;5;4;770;520;200;50;1,4;18567
"Oude Kerk e.o.";695;390;305;20;150;340;125;70;570;75;50;10;245;120;5;5;10;10;85;5;9;0;1;510;350;130;30;1,4;7756
"Burgwallen Oost";1650;860;790;90;285;770;325;180;1275;245;105;20;555;340;15;15;40;15;250;15;8;5;5;1145;760;285;105;1,4;27483
"Nes e.o.";370;205;165;25;60;190;75;25;285;55;20;5;140;45;0;0;5;5;30;5;5;0;3;245;150;70;25;1,5;7360
"BG-terrein e.o.";695;385;310;35;140;290;150;80;525;110;40;10;190;100;5;5;10;5;70;10;9;5;7;510;375;95;40;1,4;8638
"Burgwallen-Nieuwe Zijde";4025;2230;1800;160;625;2110;805;320;3165;590;230;40;1490;735;35;25;75;50;555;30;8;5;2;2880;1950;745;180;1,4;7060
"Stationsplein e.o.";5;5;5;0;0;5;0;0;5;0;0;0;10;0;0;0;0;0;0;0;0;0;0;5;5;0;0;1,8;
"Hemelrijk";560;325;235;20;75;305;125;35;455;60;40;5;215;85;5;0;15;10;55;5;5;0;0;405;270;105;20;1,4;9317
"Nieuwendijk Noord";450;260;195;15;75;250;95;15;375;60;20;5;185;110;0;5;10;0;90;10;16;0;0;340;240;75;20;1,3;7517
"Spuistraat Noord";805;440;365;25;115;435;160;65;610;140;40;10;300;130;5;5;15;10;90;5;7;5;4;555;350;170;35;1,4;16140
"Nieuwe Kerk e.o.";765;450;320;45;135;400;145;45;610;120;30;5;265;160;5;5;20;10;125;5;7;0;4;520;325;155;40;1,5;9600
"Spuistraat Zuid";725;405;320;35;100;360;155;70;565;105;40;10;280;115;10;10;10;5;90;5;4;0;1;525;365;115;40;1,4;12033
"Begijnhofbuurt";415;175;245;5;55;205;80;70;305;55;50;5;125;70;10;0;5;0;55;5;10;0;2;330;255;60;10;1,2;5914
"Kalverdriehoek";295;170;125;10;65;150;50;15;240;45;15;0;115;65;0;5;0;5;50;5;10;0;3;205;135;60;15;1,4;5920
"Grachtengordel-West";6365;3330;3030;455;855;2250;1710;1095;4120;1690;405;145;2220;715;15;45;55;65;540;55;9;30;4;4095;2520;1085;490;1,6;14147
"Langestraat e.o.";1870;995;875;180;195;590;515;390;1130;550;135;50;625;160;5;10;20;10;125;20;10;5;4;1145;665;305;170;1,6;18690
"Leliegracht e.o.";1800;905;895;110;350;630;440;265;1250;425;90;30;650;230;5;10;15;20;185;20;9;5;3;1200;785;290;120;1,5;12857
"Felix Meritisbuurt";2025;1075;945;120;230;780;570;320;1300;535;135;40;740;235;5;20;20;25;165;20;10;10;7;1320;805;365;145;1,5;12638
"Leidsegracht Noord";675;360;315;40;80;250;185;120;435;180;45;20;210;85;0;10;5;10;65;5;4;5;3;435;260;125;50;1,6;13500
"Grachtengordel-Zuid";5380;2920;2465;420;725;2075;1365;795;3565;1350;325;140;1860;690;35;40;55;60;505;40;7;20;4;3360;2015;895;450;1,6;10350
"Spiegelbuurt";800;450;350;75;95;320;210;105;520;215;45;15;305;135;0;5;10;10;110;10;11;5;4;480;270;135;75;1,7;10000
"Gouden Bocht";150;85;65;10;20;60;30;30;100;25;10;5;55;10;0;0;0;0;10;5;14;0;7;90;50;30;10;1,6;2920
"Van Loonbuurt";1405;720;685;100;205;460;385;260;865;390;110;40;420;130;10;15;5;15;85;5;4;10;6;870;520;215;130;1,6;10823
"Amstelveldbuurt";1535;805;725;150;185;495;450;245;975;430;85;40;450;190;10;10;20;20;125;10;7;5;3;930;565;220;150;1,7;13927
"Rembrandtpleinbuurt";455;265;190;20;50;270;80;40;350;70;35;10;165;100;10;5;0;10;80;5;11;0;4;320;205;95;20;1,4;7617
"Reguliersbuurt";400;225;175;20;95;230;45;10;325;65;5;0;200;75;0;5;0;5;60;0;3;0;0;275;180;80;20;1,4;9950
"Leidsegracht Zuid";645;365;275;40;80;245;165;110;430;145;30;30;260;50;5;0;5;0;35;10;11;0;6;395;235;115;45;1,6;12840
"Nieuwmarkt/Lastage";9630;5000;4625;740;1130;3220;2680;1855;6315;2155;905;250;2750;1525;100;70;265;95;990;70;7;85;9;6280;3970;1460;850;1,5;13561
"Oosterdokseiland";460;265;195;60;30;195;130;45;295;115;45;5;120;125;15;5;40;10;60;10;13;0;2;260;120;85;55;1,8;3850
"Scheepvaarthuisbuurt";725;355;365;55;115;275;165;110;495;175;40;15;220;55;5;5;10;5;30;5;10;0;3;440;255;130;60;1,6;14420
"Rapenburg";990;485;500;95;220;345;225;100;710;210;55;15;350;165;10;10;25;20;100;5;7;0;2;630;380;155;90;1,6;10956
"Lastage";1075;555;520;90;110;415;295;165;755;240;75;15;300;135;10;5;10;15;95;10;9;5;2;685;400;190;95;1,6;21520
"Nieuwmarkt";1600;775;820;120;135;400;495;445;995;310;220;75;385;245;15;15;55;10;140;5;3;40;23;1030;685;195;150;1,5;26600
"Uilenburg";1235;660;575;85;125;455;360;210;785;305;120;25;360;255;15;10;30;20;190;5;7;10;6;805;490;200;115;1,5;15425
"Valkenburg";1190;610;585;95;140;375;310;275;725;290;130;45;355;205;10;5;40;5;145;10;9;10;8;800;535;165;95;1,5;17014
"Zuiderkerkbuurt";1500;840;655;85;145;465;465;335;970;330;155;40;410;195;15;10;30;10;130;5;5;15;13;1035;705;215;115;1,4;21400
"Waterloopleinbuurt";860;450;410;60;105;295;230;170;590;180;80;15;260;150;5;5;25;10;105;5;8;5;6;595;400;125;65;1,5;7855
"Haarlemmerbuurt";9175;4615;4555;885;805;3060;2720;1695;5850;2220;845;255;2380;1690;215;75;345;90;970;80;9;70;7;5645;3375;1330;940;1,6;16678
"Westerdokseiland";1840;940;900;240;130;540;540;390;1020;595;170;55;420;475;60;15;125;40;230;20;11;10;6;995;455;320;220;1,9;11506
"Haarlemmerbuurt Oost";1475;750;725;95;160;555;415;255;1025;285;135;40;405;215;15;5;40;10;155;15;8;10;9;970;615;235;120;1,5;16422
"Haarlemmerbuurt West";2430;1240;1185;215;235;820;725;435;1560;555;225;85;640;460;75;25;85;25;250;20;8;30;13;1490;915;330;250;1,6;22082
"Westelijke eilanden";2900;1410;1490;300;245;905;895;550;1840;725;275;65;775;430;55;20;65;15;270;25;9;10;3;1810;1115;390;305;1,6;19347
"Planciusbuurt Noord";355;185;175;30;25;175;95;35;290;40;20;10;110;65;5;5;15;0;40;5;8;0;6;255;185;45;30;1,4;17650
"Planciusbuurt Zuid";170;90;80;15;10;70;50;30;120;25;20;5;30;35;5;5;10;0;20;0;6;0;6;125;95;20;10;1,3;17000
"Jordaan";19405;9835;9565;1485;1975;7260;5365;3320;13350;3850;1710;490;5480;2975;360;175;455;265;1730;175;9;140;7;12935;8480;2815;1640;1,5;23380
"Driehoekbuurt";2725;1345;1375;205;250;1095;745;420;1900;535;230;55;755;390;45;25;50;30;245;20;8;15;5;1860;1230;405;220;1,5;27210
"Bloemgrachtbuurt";2965;1460;1505;265;325;1100;785;485;2000;655;255;60;940;395;35;25;45;40;255;30;10;20;6;1885;1170;440;280;1,6;26964
"Marnixbuurt Noord";1485;740;745;130;145;545;405;260;1000;295;140;50;360;335;45;10;75;40;165;15;11;20;13;965;595;230;140;1,5;24750
"Zaagpoortbuurt";935;535;400;55;125;470;205;80;740;105;80;10;265;245;40;15;45;15;120;15;13;5;4;730;575;105;45;1,3;23350
"Marnixbuurt Midden";200;110;90;15;15;125;35;15;155;35;10;0;55;40;0;5;10;5;25;0;5;0;0;125;70;40;20;1,6;10150
"Elandsgrachtbuurt";4290;2200;2090;330;425;1605;1170;765;2890;900;390;100;1270;660;95;40;90;70;360;35;8;25;6;2820;1825;635;360;1,5;22558
"Passeerdersgrachtbuurt";870;455;415;50;85;320;240;175;610;160;75;30;250;125;10;10;15;15;75;10;9;5;6;615;435;130;55;1,4;17440
