"Wijken en buurten";"Inkomen/Inkomen van personen/Aantal inkomensontvangers   (aantal)";"Inkomen/Inkomen van personen/Gemiddeld inkomen per inkomensontvanger  (x 1 000 euro)";"Inkomen/Inkomen van personen/Gemiddeld inkomen per inwoner  (x 1 000 euro)";"Inkomen/Inkomen van personen/40% personen met laagste inkomen (%)";"Inkomen/Inkomen van personen/20% personen met hoogste inkomen (%)";"Inkomen/Inkomen van huishoudens/Gem. gestandaardiseerd inkomen van huish (x 1 000 euro)";"Inkomen/Inkomen van huishoudens/40% huishoudens met laagste inkomen (%)";"Inkomen/Inkomen van huishoudens/20% huishoudens met hoogste inkomen (%)";"Inkomen/Inkomen van huishoudens/Huishoudens met een laag inkomen (%)";"Inkomen/Inkomen van huishoudens/Huish. onder of rond sociaal minimum (%)";"Inkomen/Inkomen van huishoudens/Huishoudens tot 110% van sociaal minimum (%)";"Inkomen/Inkomen van huishoudens/Huishoudens tot 120% van sociaal minimum (%)";"Inkomen/Inkomen van huishoudens/Mediaan vermogen van particuliere huish. (x 1 000 euro)"
"Amsterdam";710700;44;36,6;39,4;25,4;37,4;49,8;18,3;5,7;11,7;15,6;18,1;13
"Burgwallen-Oude Zijde";4000;39,8;36,6;41;23;32,2;60,4;11,3;9,3;11,6;14,2;16,1;4,7
"Kop Zeedijk";1000;42,2;39,1;36,5;25,6;32,6;58,1;10,6;10,1;12,1;13,5;15,4;5,8
"Oude Kerk e.o.";600;39,7;37;43,8;21,5;31,5;64,9;11;10,4;13;17,8;21,1;4,5
"Burgwallen Oost";1400;35,8;32,8;43,7;19,3;30,2;62,8;10,5;9,7;11,8;14,6;16;3,3
"Nes e.o.";300;51,7;46,4;34,7;32;41,9;42;18,2;5;5,9;7,4;9,9;13,1
"BG-terrein e.o.";600;38,9;35,8;42,7;23,7;31,8;63,3;11,2;7,9;12;14,3;16,1;4,2
"Burgwallen-Nieuwe Zijde";3700;44,4;41,1;35,9;27,6;38,3;54,7;14,4;7;8,7;11,3;13,3;6,7
"Stationsplein e.o.";0;;;;;;;;;;;;
"Hemelrijk";500;44,1;40,7;36;27,3;35,3;49,3;13,3;7,4;9,3;11,2;12,2;10,2
"Nieuwendijk Noord";400;44;40;36,2;23;43;60,1;11;7,6;9;11,5;13,7;4,8
"Spuistraat Noord";800;44,7;41,3;34,1;27,1;38,2;52,8;16,3;6,4;6,9;9,6;11;7
"Nieuwe Kerk e.o.";700;44;40,3;37,4;28,4;36,2;53,9;15,4;8,3;9,2;10,6;13,2;5,6
"Spuistraat Zuid";700;46,9;43,7;36,9;30;42,7;53,6;16,8;8,2;11,3;15,2;16,3;11,4
"Begijnhofbuurt";400;40,3;38,1;35,7;24,8;34,7;65;9;6,1;8,5;12,6;17,1;6,2
"Kalverdriehoek";300;45,8;42,2;34,6;32,5;36,6;48,8;15,8;2,9;4,1;4,7;6,5;2,2
"Grachtengordel-West";5400;75,1;66;31,8;39,2;63,2;39,2;30,5;6,9;7,3;8,6;9,8;98,1
"Langestraat e.o.";1600;73,3;63,7;30,9;40,4;67,1;35,7;31,9;6,3;6,8;8;8,9;241,8
"Leliegracht e.o.";1500;74,8;65,3;34,6;38,2;61,4;42,1;29,1;8,6;8,5;9,7;10,8;67,9
"Felix Meritisbuurt";1800;75,1;66,6;30;39,2;61,7;38,2;30,8;6,1;7,3;8,6;9,9;75
"Leidsegracht Noord";600;81,1;72,7;32,7;39,1;61,6;42,9;29,2;7,3;5,9;7,8;9,4;79,1
"Grachtengordel-Zuid";4700;74;64,5;30,9;38,1;66,1;39,2;27,8;5,4;5,9;7;8;59,7
"Spiegelbuurt";700;88,8;75,5;28,1;42;70;38,6;31,4;6,2;5,3;6,2;6,9;111,7
"Gouden Bocht";100;85,2;76,7;25,2;40,9;;;;;;;;
"Van Loonbuurt";1200;80,4;71,5;34;37,5;75;37;29,5;3,7;4,7;6,2;7,1;151,1
"Amstelveldbuurt";1300;72,9;62,1;31,9;39;69,4;37,5;30,7;5,5;6,5;7,5;8,9;257
"Rembrandtpleinbuurt";500;57,3;50,8;24,4;38,1;49,3;40,4;17,1;4,5;5,1;6;6,6;5,7
"Reguliersbuurt";300;43,3;38,8;39,5;24,2;34,4;59,1;13,6;10,9;11,4;12,4;12,9;1,7
"Leidsegracht Zuid";500;75,1;65,6;27,5;40,6;67,4;36,1;31,4;6;6;7,1;8,9;121,5
"Nieuwmarkt/Lastage";8300;50,3;45;36,4;29,9;46,6;50,5;18,7;5,7;11,5;15,2;17,3;28,7
"Oosterdokseiland";400;69,6;58,3;23,8;46,7;59,8;30,2;34,9;4,1;5,7;8,1;9,8;29,7
"Scheepvaarthuisbuurt";600;48,3;42,9;34,1;34,1;49,4;42,5;24,4;6,3;7,1;7,3;8,4;59,5
"Rapenburg";700;50,8;43,2;37,7;33,1;44,1;48,5;20,1;5,6;9,1;12,1;13,4;17,2
"Lastage";900;50,7;45,2;34,4;31;41,1;45,6;18,3;6,1;9,7;12,3;13,9;39,2
"Nieuwmarkt";1400;38,5;34,7;43,7;20,2;32,8;63,8;11,5;7,5;17,6;24,2;27,3;16,3
"Uilenburg";1100;60,8;55;34,2;34,2;46,1;46,6;22,8;5,3;11,2;14,6;16,8;40,5
"Valkenburg";1000;52,1;46,8;35,4;34,1;40,5;47,4;19,8;3,8;10,4;13,9;15,8;57,8
"Zuiderkerkbuurt";1400;47,7;43,6;39;25,5;;55,1;17,2;7;13,3;17,3;20;21,7
"Waterloopleinbuurt";700;50,2;45,1;32,6;26,8;48;50,6;13,7;3,7;9,2;13,5;15,6;32,8
"Haarlemmerbuurt";7800;48,6;42,8;36,5;30,4;41,2;48,2;20,3;5,9;11,8;15,3;17,8;32,2
"Westerdokseiland";1500;59,5;51;31,9;41,5;51,4;29,8;34,7;4;9,1;11,6;14,2;136,1
"Haarlemmerbuurt Oost";1300;45,5;41,1;36;27,6;44;51,3;15,8;6,4;11;14,7;16,7;27,4
"Haarlemmerbuurt West";2100;47,9;42,4;38,5;29,2;39,6;50,1;17,7;5,6;13,1;16,7;19,3;21
"Westelijke eilanden";2500;46;40,2;37,5;27,9;37,8;51,2;19,8;6,7;11,8;15;17,5;41,4
"Planciusbuurt Noord";300;39,9;37,3;35,4;22,6;31,1;64;6;7,7;13,7;19,2;22,2;5,2
"Planciusbuurt Zuid";200;32,5;29,7;46,1;13,8;27,3;70,8;7,5;4,5;21,6;28,8;34,2;3
"Jordaan";17100;47,5;42,6;37,7;28,2;38,6;54;16,6;6;12,5;16,6;19,1;22,2
"Driehoekbuurt";2400;46,3;41,6;37,9;27,4;37,2;55,3;14,8;5,9;12,3;16,7;19;18,9
"Bloemgrachtbuurt";2600;52,3;46;35,6;32,7;41,5;47,4;19,5;5,1;10,7;13,9;16,3;31,2
"Marnixbuurt Noord";1300;40,7;36,2;39,7;23,7;32,6;59,7;14,3;5,7;13,3;18,6;22,8;9,3
"Zaagpoortbuurt";800;36,9;34,1;42,5;20,3;29,9;69,7;7,5;7,3;19,5;25,8;27,8;3
"Marnixbuurt Midden";200;59,7;53;28,4;39,2;51,9;38;32,2;7,3;9,2;9,2;10,1;43,8
"Elandsgrachtbuurt";3700;48,7;43,8;37,2;28,9;41;53,3;17,1;6;13;16,8;19,3;24,3
"Passeerdersgrachtbuurt";800;58,8;53,1;36,2;32,2;44,4;47,6;20,7;7;11;15,6;18,3;54,4
"Groenmarktkadebuurt";300;59,4;56,4;35,5;36,9;47,3;47,3;26,9;7,7;7,1;9,5;10,1;23,5
"Marnixbuurt Zuid";600;45;41,8;31,8;27,5;34;58,8;10,9;8;11,1;13,8;17,8;28,2
"Anjeliersbuurt Noord";1900;47,4;42,6;38,4;27,3;40,2;52,3;18,8;5,9;10,1;14,4;16,5;29,1
"Anjeliersbuurt Zuid";2600;43,7;39,2;39,9;26,1;36;55,8;15,9;5,8;13,7;18,1;20,6;24,6
"De Weteringschans";6400;61,1;53,5;31,1;37,6;52,3;42,7;25,2;5,2;7,3;9,3;10,9;40
"Leidsebuurt Noordwest";200;54,1;50,4;22,3;37,7;41,5;45,2;15,6;2,8;2,8;3,9;5,5;25,1
"Leidsebuurt Zuidwest";100;48,7;44,3;38,9;29;33,9;64,2;16;;;;;4,1
"Leidsebuurt Noordoost";900;49,6;45,4;34,6;28,5;36,5;51,9;13,9;6,1;6,8;8;9,1;5,5
"Leidsebuurt Zuidoost";300;56,7;48,6;35,2;36;44,5;44,7;24,5;5,4;8,3;11,9;13,1;30
"Weteringbuurt";2000;61,4;53,1;30,7;39,1;62;41;26,6;5,6;7,4;9,3;10,8;53,1
"Den Texbuurt";900;66,8;57;30,6;41,2;54,4;39,1;33,4;4,5;7,9;10,5;11,8;98,2
"Utrechtsebuurt Zuid";1000;61;53,7;31,5;37,2;49,9;40,7;26,1;4,3;7,5;9,8;12;75,7
"Frederikspleinbuurt";800;73,4;63,6;28,3;42,5;57,7;36,7;30,9;5,4;7,7;10;11,1;129,2
"Weesperbuurt/Plantage";6000;54,4;48,1;34,7;33,7;47,3;47,2;21,9;5,4;8,9;11,9;13,7;39,3
"Weesperbuurt";2600;49,2;44,5;36,4;31,2;39;51;18,1;5,7;9,8;12,9;14,9;23
"Sarphatistrook";1600;51,1;45,3;36,9;31,5;41,3;50,1;21,6;5,5;10,5;14,4;16,3;23,8
"de Plantage";1400;67,6;57,9;30,8;39,2;63,7;37,7;28,1;4,2;5,5;7,7;9;241,9
"Alexanderplein e.o.";300;54;46,3;28,6;39,2;;40,6;28,6;7,5;8;10,8;11,8;121
"Oostelijke Eilanden/Kadijken";11500;41,9;36,7;39,2;26;34,7;52,6;16,8;6,1;12,6;17,3;20;18,9
"Marine-Etablissement";100;;;;;;;;;;;;
"Kattenburg";1400;31,9;28;49,7;17,3;27,2;62,6;13;5,6;12,3;18;21,8;7,8
"Wittenburg";1900;39,4;34,9;37,7;23,7;33,6;51,6;14,9;5,2;13;18,7;21,4;20
"Oostenburg";1700;42,7;37,7;36,7;26,4;34,9;51,8;16,3;5,4;13,1;17,2;19,7;10
"Czaar Peterbuurt";2000;41,3;36,3;40,4;25,6;32,9;56,9;15,3;6,1;15,2;20,1;22,5;8
