"Wijken en buurten";"Bevolking/Aantal inwoners (aantal)";"Bevolking/Geslacht/Mannen (aantal)";"Bevolking/Geslacht/Vrouwen (aantal)";"Bevolking/Leeftijdsgroepen/0 tot 15 jaar (aantal)";"Bevolking/Leeftijdsgroepen/15 tot 25 jaar (aantal)";"Bevolking/Leeftijdsgroepen/25 tot 45 jaar (aantal)";"Bevolking/Leeftijdsgroepen/45 tot 65 jaar (aantal)";"Bevolking/Leeftijdsgroepen/65 jaar of ouder (aantal)";"Bevolking/Burgerlijke staat/Ongehuwd (aantal)";"Bevolking/Burgerlijke staat/Gehuwd (aantal)";"Bevolking/Burgerlijke staat/Gescheiden (aantal)";"Bevolking/Burgerlijke staat/Verweduwd (aantal)";"Bevolking/Bevolking naar herkomst/Herkomstland/Nederland (aantal)";"Bevolking/Bevolking naar herkomst/Herkomstland/Europa (exclusief Nederland)  (aantal)";"Bevolking/Bevolking naar herkomst/Herkomstland/Buiten Europa  (aantal)";"Bevolking/Bevolking naar herkomst/Geboren in Nederland/Nederland (aantal)";"Bevolking/Bevolking naar herkomst/Geboren in Nederland/Europa (exclusief Nederland)  (aantal)";"Bevolking/Bevolking naar herkomst/Geboren in Nederland/Buiten Europa  (aantal)";"Bevolking/Bevolking naar herkomst/Geboren buiten Nederland/Europa (exclusief Nederland) (aantal)";"Bevolking/Bevolking naar herkomst/Geboren buiten Nederland/Buiten Europa (aantal)";"Bevolking/Geboorte en sterfte/Geboorte totaal (aantal)";"Bevolking/Geboorte en sterfte/Geboorte relatief (per 1 000 inwoners)";"Bevolking/Geboorte en sterfte/Sterfte totaal (aantal)";"Bevolking/Geboorte en sterfte/Sterfte relatief (per 1 000 inwoners)";"Bevolking/Particuliere huishoudens/Huishoudens totaal (aantal)";"Bevolking/Particuliere huishoudens/Eenpersoonshuishoudens (aantal)";"Bevolking/Particuliere huishoudens/Huishoudens zonder kinderen (aantal)";"Bevolking/Particuliere huishoudens/Huishoudens met kinderen (aantal)";"Bevolking/Particuliere huishoudens/Gemiddelde huishoudensgrootte (aantal)";"Bevolking/Bevolkingsdichtheid (aantal inwoners per km²)"
"Amsterdam";918117;454273;463844;124270;120404;335216;215053;123174;599108;220160;74861;23988;377499;152161;388457;377499;37186;162944;114975;225513;9673;11;5977;7;505705;277385;111234;117086;1,8;4880
"Haarlemmerbuurt";9135;4565;4570;810;855;3055;2640;1775;5905;2145;830;255;4780;1805;2545;4780;460;950;1345;1600;70;8;65;7;5695;3410;1405;875;1,6;16868
"Planciusbuurt-Noord";345;180;160;15;25;180;90;35;270;40;20;5;160;90;95;160;15;35;70;60;5;15;5;9;255;185;50;20;1,3;18761
"Westelijke eilanden";2910;1395;1520;290;260;910;870;585;1875;700;275;65;1600;570;745;1595;160;280;405;465;25;8;15;4;1840;1140;400;295;1,6;19139
"Westerdokseiland";1825;925;900;210;140;515;550;410;1025;565;170;60;880;335;610;875;75;235;260;375;15;8;10;6;990;445;330;215;1,8;11712
"Planciusbuurt-Zuid";165;85;80;10;10;65;55;30;115;25;20;5;90;30;45;90;5;20;25;25;0;12;0;6;125;90;20;15;1,4;12941
"Haarlemmerbuurt-West";2375;1210;1170;190;240;810;685;445;1545;525;220;80;1220;465;690;1225;120;255;340;440;20;7;25;12;1475;905;355;215;1,6;21731
"Haarlemmerbuurt-Oost";1515;775;745;95;180;575;400;270;1065;285;125;35;835;325;360;835;80;115;240;240;10;7;10;5;1010;640;250;115;1,5;16243
"Jordaan";19545;9790;9755;1445;2175;7280;5180;3460;13665;3690;1670;520;10265;4210;5070;10265;1020;1750;3185;3320;140;7;145;7;13235;8850;2780;1605;1,5;23429
"Marnixbuurt-Noord";1455;715;735;125;135;540;405;260;980;290;130;50;725;290;440;720;80;165;210;280;5;6;10;8;955;605;210;140;1,5;26253
"Driehoekbuurt";2725;1330;1390;215;295;1065;695;450;1920;510;230;60;1440;605;675;1440;130;230;475;445;15;6;20;6;1890;1290;375;220;1,4;27661
"Anjeliersbuurt-Noord";2095;1025;1070;155;250;675;630;380;1450;420;175;50;1260;415;420;1260;105;180;310;245;15;6;10;5;1345;840;310;200;1,6;22153
