"Wijken en buurten";"Bevolking/Aantal inwoners (aantal)";"Bevolking/Geslacht/Mannen (aantal)";"Bevolking/Geslacht/Vrouwen (aantal)";"Bevolking/Leeftijdsgroepen/0 tot 15 jaar (aantal)";"Bevolking/Leeftijdsgroepen/15 tot 25 jaar (aantal)";"Bevolking/Leeftijdsgroepen/25 tot 45 jaar (aantal)";"Bevolking/Leeftijdsgroepen/45 tot 65 jaar (aantal)";"Bevolking/Leeftijdsgroepen/65 jaar of ouder (aantal)";"Bevolking/Burgerlijke staat/Ongehuwd (aantal)";"Bevolking/Burgerlijke staat/Gehuwd (aantal)";"Bevolking/Burgerlijke staat/Gescheiden (aantal)";"Bevolking/Burgerlijke staat/Verweduwd (aantal)";"Bevolking/Bevolking naar herkomst/Herkomstland/Nederland (aantal)";"Bevolking/Bevolking naar herkomst/Herkomstland/Europa (exclusief Nederland)  (aantal)";"Bevolking/Bevolking naar herkomst/Herkomstland/Buiten Europa  (aantal)";"Bevolking/Bevolking naar herkomst/Geboren in Nederland/Nederland (aantal)";"Bevolking/Bevolking naar herkomst/Geboren in Nederland/Europa (exclusief Nederland)  (aantal)";"Bevolking/Bevolking naar herkomst/Geboren in Nederland/Buiten Europa  (aantal)";"Bevolking/Bevolking naar herkomst/Geboren buiten Nederland/Europa (exclusief Nederland) (aantal)";"Bevolking/Bevolking naar herkomst/Geboren buiten Nederland/Buiten Europa (aantal)";"Bevolking/Geboorte en sterfte/Geboorte totaal (aantal)";"Bevolking/Geboorte en sterfte/Geboorte relatief (per 1 000 inwoners)";"Bevolking/Geboorte en sterfte/Sterfte totaal (aantal)";"Bevolking/Geboorte en sterfte/Sterfte relatief (per 1 000 inwoners)";"Bevolking/Particuliere huishoudens/Huishoudens totaal (aantal)";"Bevolking/Particuliere huishoudens/Eenpersoonshuishoudens (aantal)";"Bevolking/Particuliere huishoudens/Huishoudens zonder kinderen (aantal)";"Bevolking/Particuliere huishoudens/Huishoudens met kinderen (aantal)";"Bevolking/Particuliere huishoudens/Gemiddelde huishoudensgrootte (aantal)";"Bevolking/Bevolkingsdichtheid (aantal inwoners per km²)"
"Amsterdam";931298;460766;470532;122836;124148;343274;214560;126480;609532;223449;74586;23731;375842;158889;396567;375842;37851;163953;121038;232614;;;;;515181;283997;114010;117174;1,8;4950
"Haarlemmerbuurt";9180;4570;4610;785;915;3090;2530;1865;5915;2165;830;265;4725;1860;2590;4725;475;950;1385;1640;;;;;5765;3505;1395;870;1,6;16948
"Planciusbuurt-Noord";345;185;160;20;25;165;100;35;270;50;20;5;155;85;105;155;15;40;70;65;;;;;260;190;45;20;1,3;18872
"Westelijke eilanden";2895;1375;1520;275;270;920;815;610;1860;695;275;65;1575;575;745;1575;170;285;410;460;;;;;1835;1150;400;295;1,6;19014
"Westerdokseiland";1850;945;900;205;150;540;530;420;1030;585;170;60;860;365;620;865;80;230;285;395;;;;;1000;450;335;220;1,8;11861
"Planciusbuurt-Zuid";160;80;80;10;10;60;50;30;115;25;20;5;85;25;50;85;10;25;20;25;;;;;120;85;20;15;1,4;12706
"Haarlemmerbuurt-West";2410;1220;1190;175;265;835;660;475;1570;520;225;95;1240;470;700;1235;125;255;350;445;;;;;1520;950;355;210;1,5;22033
"Haarlemmerbuurt-Oost";1520;770;750;95;200;575;375;285;1070;290;125;35;810;340;375;810;85;120;255;255;;;;;1030;680;240;115;1,5;16318
"Jordaan";19685;9880;9805;1375;2295;7420;5110;3480;13850;3720;1615;505;10220;4255;5215;10220;1010;1770;3245;3445;;;;;13380;8950;2890;1545;1,5;23601
"Marnixbuurt-Noord";1480;725;755;125;135;550;410;260;1010;295;130;45;720;290;470;720;70;165;225;310;;;;;975;625;225;130;1,5;26740
"Driehoekbuurt";2730;1350;1380;185;305;1080;705;455;1935;510;225;60;1430;605;695;1430;130;235;475;460;;;;;1905;1285;410;210;1,4;27752
"Anjeliersbuurt-Noord";2110;1030;1080;150;245;700;625;390;1465;430;165;50;1265;400;445;1265;105;185;295;265;;;;;1380;890;300;195;1,5;22280
"Zaagpoortbuurt";945;560;385;45;135;455;220;85;760;100;85;10;375;210;360;375;35;110;170;250;;;;;745;585;115;50;1,3;27039
