"Soort misdrijf";"Perioden";"Wijken en buurten";"Geregistreerde misdrijven (aantal)"
"1.1.1 Diefstal/inbraak woning";"2012";"Amsterdam";"    6003"
"1.1.1 Diefstal/inbraak woning";"2013";"Amsterdam";"    6642"
"1.1.1 Diefstal/inbraak woning";"2014";"Amsterdam";"    5564"
"1.1.1 Diefstal/inbraak woning";"2015";"Amsterdam";"    5217"
"1.1.1 Diefstal/inbraak woning";"2016";"Amsterdam";"    4426"
"1.1.1 Diefstal/inbraak woning";"2017";"Amsterdam";"    4598"
"1.1.1 Diefstal/inbraak woning";"2018";"Amsterdam";"    3553"
"1.1.1 Diefstal/inbraak woning";"2019";"Amsterdam";"    3427"
"1.1.1 Diefstal/inbraak woning";"2020";"Amsterdam";"    2429"
"1.1.1 Diefstal/inbraak woning";"2021";"Amsterdam";"    1763"
"1.1.1 Diefstal/inbraak woning";"2022";"Amsterdam";"    1731"
"1.1.1 Diefstal/inbraak woning";"2023";"Amsterdam";"    1781"
"1.1.1 Diefstal/inbraak woning";"2012";"Haarlemmerbuurt";"      58"
"1.1.1 Diefstal/inbraak woning";"2013";"Haarlemmerbuurt";"      62"
"1.1.1 Diefstal/inbraak woning";"2014";"Haarlemmerbuurt";"      42"
"1.1.1 Diefstal/inbraak woning";"2015";"Haarlemmerbuurt";"      39"
"1.1.1 Diefstal/inbraak woning";"2016";"Haarlemmerbuurt";"      34"
"1.1.1 Diefstal/inbraak woning";"2017";"Haarlemmerbuurt";"      37"
"1.1.1 Diefstal/inbraak woning";"2018";"Haarlemmerbuurt";"      21"
"1.1.1 Diefstal/inbraak woning";"2019";"Haarlemmerbuurt";"      43"
"1.1.1 Diefstal/inbraak woning";"2020";"Haarlemmerbuurt";"      38"
"1.1.1 Diefstal/inbraak woning";"2021";"Haarlemmerbuurt";"      22"
"1.1.1 Diefstal/inbraak woning";"2022";"Haarlemmerbuurt";"      27"
"1.1.1 Diefstal/inbraak woning";"2023";"Haarlemmerbuurt";"      21"
"1.1.1 Diefstal/inbraak woning";"2012";"Planciusbuurt-Noord";"       2"
"1.1.1 Diefstal/inbraak woning";"2013";"Planciusbuurt-Noord";"       3"
"1.1.1 Diefstal/inbraak woning";"2014";"Planciusbuurt-Noord";"       2"
"1.1.1 Diefstal/inbraak woning";"2015";"Planciusbuurt-Noord";"       2"
"1.1.1 Diefstal/inbraak woning";"2016";"Planciusbuurt-Noord";"       2"
"1.1.1 Diefstal/inbraak woning";"2017";"Planciusbuurt-Noord";"       2"
"1.1.1 Diefstal/inbraak woning";"2018";"Planciusbuurt-Noord";"       2"
"1.1.1 Diefstal/inbraak woning";"2019";"Planciusbuurt-Noord";"       2"
"1.1.1 Diefstal/inbraak woning";"2020";"Planciusbuurt-Noord";"       6"
"1.1.1 Diefstal/inbraak woning";"2021";"Planciusbuurt-Noord";"       0"
"1.1.1 Diefstal/inbraak woning";"2022";"Planciusbuurt-Noord";"       0"
"1.1.1 Diefstal/inbraak woning";"2023";"Planciusbuurt-Noord";"       1"
"1.1.1 Diefstal/inbraak woning";"2012";"Westelijke eilanden";"      29"
"1.1.1 Diefstal/inbraak woning";"2013";"Westelijke eilanden";"      19"
"1.1.1 Diefstal/inbraak woning";"2014";"Westelijke eilanden";"      14"
"1.1.1 Diefstal/inbraak woning";"2015";"Westelijke eilanden";"      13"
"1.1.1 Diefstal/inbraak woning";"2016";"Westelijke eilanden";"       5"
"1.1.1 Diefstal/inbraak woning";"2017";"Westelijke eilanden";"      14"
"1.1.1 Diefstal/inbraak woning";"2018";"Westelijke eilanden";"      10"
"1.1.1 Diefstal/inbraak woning";"2019";"Westelijke eilanden";"       7"
"1.1.1 Diefstal/inbraak woning";"2020";"Westelijke eilanden";"      10"
"1.1.1 Diefstal/inbraak woning";"2021";"Westelijke eilanden";"       7"
"1.1.1 Diefstal/inbraak woning";"2022";"Westelijke eilanden";"       6"
"1.1.1 Diefstal/inbraak woning";"2023";"Westelijke eilanden";"       7"
"1.1.1 Diefstal/inbraak woning";"2012";"Westerdokseiland";"       6"
"1.1.1 Diefstal/inbraak woning";"2013";"Westerdokseiland";"       9"
"1.1.1 Diefstal/inbraak woning";"2014";"Westerdokseiland";"       4"
"1.1.1 Diefstal/inbraak woning";"2015";"Westerdokseiland";"       3"
"1.1.1 Diefstal/inbraak woning";"2016";"Westerdokseiland";"       5"
"1.1.1 Diefstal/inbraak woning";"2017";"Westerdokseiland";"       2"
"1.1.1 Diefstal/inbraak woning";"2018";"Westerdokseiland";"       1"
"1.1.1 Diefstal/inbraak woning";"2019";"Westerdokseiland";"       2"
"1.1.1 Diefstal/inbraak woning";"2020";"Westerdokseiland";"       4"
"1.1.1 Diefstal/inbraak woning";"2021";"Westerdokseiland";"       3"
"1.1.1 Diefstal/inbraak woning";"2022";"Westerdokseiland";"       5"
"1.1.1 Diefstal/inbraak woning";"2023";"Westerdokseiland";"       3"
"1.1.1 Diefstal/inbraak woning";"2012";"Planciusbuurt-Zuid";"       0"
