"Soort misdrijf";"Perioden";"Wijken en buurten";"Geregistreerde misdrijven (aantal)"
"1.3.1 Ongevallen (weg)";"2012";"Amsterdam";"    3922"
"1.3.1 Ongevallen (weg)";"2013";"Amsterdam";"    4313"
"1.3.1 Ongevallen (weg)";"2014";"Amsterdam";"    4073"
"1.3.1 Ongevallen (weg)";"2015";"Amsterdam";"    4236"
"1.3.1 Ongevallen (weg)";"2016";"Amsterdam";"    4763"
"1.3.1 Ongevallen (weg)";"2017";"Amsterdam";"    5108"
"1.3.1 Ongevallen (weg)";"2018";"Amsterdam";"    5192"
"1.3.1 Ongevallen (weg)";"2019";"Amsterdam";"    4939"
"1.3.1 Ongevallen (weg)";"2020";"Amsterdam";"    4536"
"1.3.1 Ongevallen (weg)";"2021";"Amsterdam";"    4734"
"1.3.1 Ongevallen (weg)";"2022";"Amsterdam";"    5361"
"1.3.1 Ongevallen (weg)";"2023";"Amsterdam";"    5023"
"1.3.1 Ongevallen (weg)";"2012";"Haarlemmerbuurt";"      37"
"1.3.1 Ongevallen (weg)";"2013";"Haarlemmerbuurt";"      44"
"1.3.1 Ongevallen (weg)";"2014";"Haarlemmerbuurt";"      41"
"1.3.1 Ongevallen (weg)";"2015";"Haarlemmerbuurt";"      30"
"1.3.1 Ongevallen (weg)";"2016";"Haarlemmerbuurt";"      45"
"1.3.1 Ongevallen (weg)";"2017";"Haarlemmerbuurt";"      34"
"1.3.1 Ongevallen (weg)";"2018";"Haarlemmerbuurt";"      55"
"1.3.1 Ongevallen (weg)";"2019";"Haarlemmerbuurt";"      39"
"1.3.1 Ongevallen (weg)";"2020";"Haarlemmerbuurt";"      42"
"1.3.1 Ongevallen (weg)";"2021";"Haarlemmerbuurt";"      31"
"1.3.1 Ongevallen (weg)";"2022";"Haarlemmerbuurt";"      37"
"1.3.1 Ongevallen (weg)";"2023";"Haarlemmerbuurt";"      37"
"1.3.1 Ongevallen (weg)";"2012";"Planciusbuurt-Noord";"       0"
"1.3.1 Ongevallen (weg)";"2013";"Planciusbuurt-Noord";"       0"
"1.3.1 Ongevallen (weg)";"2014";"Planciusbuurt-Noord";"       1"
"1.3.1 Ongevallen (weg)";"2015";"Planciusbuurt-Noord";"       0"
"1.3.1 Ongevallen (weg)";"2016";"Planciusbuurt-Noord";"       0"
"1.3.1 Ongevallen (weg)";"2017";"Planciusbuurt-Noord";"       0"
"1.3.1 Ongevallen (weg)";"2018";"Planciusbuurt-Noord";"       1"
"1.3.1 Ongevallen (weg)";"2019";"Planciusbuurt-Noord";"       0"
"1.3.1 Ongevallen (weg)";"2020";"Planciusbuurt-Noord";"       1"
"1.3.1 Ongevallen (weg)";"2021";"Planciusbuurt-Noord";"       1"
"1.3.1 Ongevallen (weg)";"2022";"Planciusbuurt-Noord";"       1"
"1.3.1 Ongevallen (weg)";"2023";"Planciusbuurt-Noord";"       0"
"1.3.1 Ongevallen (weg)";"2012";"Westelijke eilanden";"       3"
"1.3.1 Ongevallen (weg)";"2013";"Westelijke eilanden";"       3"
"1.3.1 Ongevallen (weg)";"2014";"Westelijke eilanden";"       6"
"1.3.1 Ongevallen (weg)";"2015";"Westelijke eilanden";"       3"
"1.3.1 Ongevallen (weg)";"2016";"Westelijke eilanden";"       5"
"1.3.1 Ongevallen (weg)";"2017";"Westelijke eilanden";"       2"
"1.3.1 Ongevallen (weg)";"2018";"Westelijke eilanden";"       6"
"1.3.1 Ongevallen (weg)";"2019";"Westelijke eilanden";"       5"
"1.3.1 Ongevallen (weg)";"2020";"Westelijke eilanden";"       6"
"1.3.1 Ongevallen (weg)";"2021";"Westelijke eilanden";"       6"
"1.3.1 Ongevallen (weg)";"2022";"Westelijke eilanden";"       7"
"1.3.1 Ongevallen (weg)";"2023";"Westelijke eilanden";"       7"
"1.3.1 Ongevallen (weg)";"2012";"Westerdokseiland";"       8"
"1.3.1 Ongevallen (weg)";"2013";"Westerdokseiland";"       5"
"1.3.1 Ongevallen (weg)";"2014";"Westerdokseiland";"      10"
"1.3.1 Ongevallen (weg)";"2015";"Westerdokseiland";"       6"
"1.3.1 Ongevallen (weg)";"2016";"Westerdokseiland";"       9"
"1.3.1 Ongevallen (weg)";"2017";"Westerdokseiland";"       6"
"1.3.1 Ongevallen (weg)";"2018";"Westerdokseiland";"      11"
"1.3.1 Ongevallen (weg)";"2019";"Westerdokseiland";"      11"
"1.3.1 Ongevallen (weg)";"2020";"Westerdokseiland";"      13"
"1.3.1 Ongevallen (weg)";"2021";"Westerdokseiland";"       8"
"1.3.1 Ongevallen (weg)";"2022";"Westerdokseiland";"       7"
"1.3.1 Ongevallen (weg)";"2023";"Westerdokseiland";"       8"
"1.3.1 Ongevallen (weg)";"2012";"Planciusbuurt-Zuid";"       0"
"1.3.1 Ongevallen (weg)";"2013";"Planciusbuurt-Zuid";"       2"
"1.3.1 Ongevallen (weg)";"2014";"Planciusbuurt-Zuid";"       1"
"1.3.1 Ongevallen (weg)";"2015";"Planciusbuurt-Zuid";"       2"
"1.3.1 Ongevallen (weg)";"2016";"Planciusbuurt-Zuid";"       2"
"1.3.1 Ongevallen (weg)";"2017";"Planciusbuurt-Zuid";"       1"
"1.3.1 Ongevallen (weg)";"2018";"Planciusbuurt-Zuid";"       3"
"1.3.1 Ongevallen (weg)";"2019";"Planciusbuurt-Zuid";"       1"
"1.3.1 Ongevallen (weg)";"2020";"Planciusbuurt-Zuid";"       1"
"1.3.1 Ongevallen (weg)";"2021";"Planciusbuurt-Zuid";"       3"
"1.3.1 Ongevallen (weg)";"2022";"Planciusbuurt-Zuid";"       2"
"1.3.1 Ongevallen (weg)";"2023";"Planciusbuurt-Zuid";"       0"
"1.3.1 Ongevallen (weg)";"2012";"Haarlemmerbuurt-West";"      16"
"1.3.1 Ongevallen (weg)";"2013";"Haarlemmerbuurt-West";"      15"
"1.3.1 Ongevallen (weg)";"2014";"Haarlemmerbuurt-West";"       9"
"1.3.1 Ongevallen (weg)";"2015";"Haarlemmerbuurt-West";"      11"
"1.3.1 Ongevallen (weg)";"2016";"Haarlemmerbuurt-West";"      12"
"1.3.1 Ongevallen (weg)";"2017";"Haarlemmerbuurt-West";"       9"
"1.3.1 Ongevallen (weg)";"2018";"Haarlemmerbuurt-West";"      17"
"1.3.1 Ongevallen (weg)";"2019";"Haarlemmerbuurt-West";"      11"
"1.3.1 Ongevallen (weg)";"2020";"Haarlemmerbuurt-West";"       8"
"1.3.1 Ongevallen (weg)";"2021";"Haarlemmerbuurt-West";"       9"
"1.3.1 Ongevallen (weg)";"2022";"Haarlemmerbuurt-West";"      11"
"1.3.1 Ongevallen (weg)";"2023";"Haarlemmerbuurt-West";"      11"
"1.3.1 Ongevallen (weg)";"2012";"Haarlemmerbuurt-Oost";"      10"
