"Soort misdrijf";"Perioden";"Wijken en buurten";"Geregistreerde misdrijven (aantal)"
"1.4.7 Overval";"2012";"Amsterdam";"     221"
"1.4.7 Overval";"2013";"Amsterdam";"     248"
"1.4.7 Overval";"2014";"Amsterdam";"     177"
"1.4.7 Overval";"2015";"Amsterdam";"     175"
"1.4.7 Overval";"2016";"Amsterdam";"     178"
"1.4.7 Overval";"2017";"Amsterdam";"     186"
"1.4.7 Overval";"2018";"Amsterdam";"     226"
"1.4.7 Overval";"2019";"Amsterdam";"     214"
"1.4.7 Overval";"2020";"Amsterdam";"     154"
"1.4.7 Overval";"2021";"Amsterdam";"     161"
"1.4.7 Overval";"2022";"Amsterdam";"     122"
"1.4.7 Overval";"2023";"Amsterdam";"     127"
"1.4.7 Overval";"2012";"Haarlemmerbuurt";"       5"
"1.4.7 Overval";"2013";"Haarlemmerbuurt";"       6"
"1.4.7 Overval";"2014";"Haarlemmerbuurt";"       0"
"1.4.7 Overval";"2015";"Haarlemmerbuurt";"       0"
"1.4.7 Overval";"2016";"Haarlemmerbuurt";"       1"
"1.4.7 Overval";"2017";"Haarlemmerbuurt";"       1"
"1.4.7 Overval";"2018";"Haarlemmerbuurt";"       1"
"1.4.7 Overval";"2019";"Haarlemmerbuurt";"       1"
"1.4.7 Overval";"2020";"Haarlemmerbuurt";"       2"
"1.4.7 Overval";"2021";"Haarlemmerbuurt";"       2"
"1.4.7 Overval";"2022";"Haarlemmerbuurt";"       0"
"1.4.7 Overval";"2023";"Haarlemmerbuurt";"       0"
"1.4.7 Overval";"2012";"Planciusbuurt-Noord";"       0"
"1.4.7 Overval";"2013";"Planciusbuurt-Noord";"       0"
"1.4.7 Overval";"2014";"Planciusbuurt-Noord";"       0"
"1.4.7 Overval";"2015";"Planciusbuurt-Noord";"       0"
"1.4.7 Overval";"2016";"Planciusbuurt-Noord";"       0"
"1.4.7 Overval";"2017";"Planciusbuurt-Noord";"       0"
"1.4.7 Overval";"2018";"Planciusbuurt-Noord";"       0"
"1.4.7 Overval";"2019";"Planciusbuurt-Noord";"       0"
"1.4.7 Overval";"2020";"Planciusbuurt-Noord";"       0"
"1.4.7 Overval";"2021";"Planciusbuurt-Noord";"       0"
"1.4.7 Overval";"2022";"Planciusbuurt-Noord";"       0"
"1.4.7 Overval";"2023";"Planciusbuurt-Noord";"       0"
"1.4.7 Overval";"2012";"Westelijke eilanden";"       0"
"1.4.7 Overval";"2013";"Westelijke eilanden";"       1"
"1.4.7 Overval";"2014";"Westelijke eilanden";"       0"
"1.4.7 Overval";"2015";"Westelijke eilanden";"       0"
"1.4.7 Overval";"2016";"Westelijke eilanden";"       0"
"1.4.7 Overval";"2017";"Westelijke eilanden";"       0"
"1.4.7 Overval";"2018";"Westelijke eilanden";"       0"
"1.4.7 Overval";"2019";"Westelijke eilanden";"       0"
"1.4.7 Overval";"2020";"Westelijke eilanden";"       0"
"1.4.7 Overval";"2021";"Westelijke eilanden";"       0"
"1.4.7 Overval";"2022";"Westelijke eilanden";"       0"
"1.4.7 Overval";"2023";"Westelijke eilanden";"       0"
"1.4.7 Overval";"2012";"Westerdokseiland";"       0"
"1.4.7 Overval";"2013";"Westerdokseiland";"       0"
"1.4.7 Overval";"2014";"Westerdokseiland";"       0"
"1.4.7 Overval";"2015";"Westerdokseiland";"       0"
"1.4.7 Overval";"2016";"Westerdokseiland";"       1"
"1.4.7 Overval";"2017";"Westerdokseiland";"       0"
"1.4.7 Overval";"2018";"Westerdokseiland";"       0"
"1.4.7 Overval";"2019";"Westerdokseiland";"       0"
"1.4.7 Overval";"2020";"Westerdokseiland";"       0"
"1.4.7 Overval";"2021";"Westerdokseiland";"       1"
"1.4.7 Overval";"2022";"Westerdokseiland";"       0"
"1.4.7 Overval";"2023";"Westerdokseiland";"       0"
"1.4.7 Overval";"2012";"Planciusbuurt-Zuid";"       0"
"1.4.7 Overval";"2013";"Planciusbuurt-Zuid";"       0"
"1.4.7 Overval";"2014";"Planciusbuurt-Zuid";"       0"
"1.4.7 Overval";"2015";"Planciusbuurt-Zuid";"       0"
"1.4.7 Overval";"2016";"Planciusbuurt-Zuid";"       0"
"1.4.7 Overval";"2017";"Planciusbuurt-Zuid";"       1"
"1.4.7 Overval";"2018";"Planciusbuurt-Zuid";"       0"
"1.4.7 Overval";"2019";"Planciusbuurt-Zuid";"       0"
"1.4.7 Overval";"2020";"Planciusbuurt-Zuid";"       1"
"1.4.7 Overval";"2021";"Planciusbuurt-Zuid";"       0"
"1.4.7 Overval";"2022";"Planciusbuurt-Zuid";"       0"
"1.4.7 Overval";"2023";"Planciusbuurt-Zuid";"       0"
"1.4.7 Overval";"2012";"Haarlemmerbuurt-West";"       5"
"1.4.7 Overval";"2013";"Haarlemmerbuurt-West";"       3"
"1.4.7 Overval";"2014";"Haarlemmerbuurt-West";"       0"
"1.4.7 Overval";"2015";"Haarlemmerbuurt-West";"       0"
"1.4.7 Overval";"2016";"Haarlemmerbuurt-West";"       0"
"1.4.7 Overval";"2017";"Haarlemmerbuurt-West";"       0"
"1.4.7 Overval";"2018";"Haarlemmerbuurt-West";"       1"
"1.4.7 Overval";"2019";"Haarlemmerbuurt-West";"       1"
"1.4.7 Overval";"2020";"Haarlemmerbuurt-West";"       1"
"1.4.7 Overval";"2021";"Haarlemmerbuurt-West";"       1"
"1.4.7 Overval";"2022";"Haarlemmerbuurt-West";"       0"
"1.4.7 Overval";"2023";"Haarlemmerbuurt-West";"       0"
"1.4.7 Overval";"2012";"Haarlemmerbuurt-Oost";"       0"
"1.4.7 Overval";"2013";"Haarlemmerbuurt-Oost";"       2"
"1.4.7 Overval";"2014";"Haarlemmerbuurt-Oost";"       0"
"1.4.7 Overval";"2015";"Haarlemmerbuurt-Oost";"       0"
"1.4.7 Overval";"2016";"Haarlemmerbuurt-Oost";"       0"
"1.4.7 Overval";"2017";"Haarlemmerbuurt-Oost";"       0"
"1.4.7 Overval";"2018";"Haarlemmerbuurt-Oost";"       0"
"1.4.7 Overval";"2019";"Haarlemmerbuurt-Oost";"       0"
"1.4.7 Overval";"2020";"Haarlemmerbuurt-Oost";"       0"
"1.4.7 Overval";"2021";"Haarlemmerbuurt-Oost";"       0"
"1.4.7 Overval";"2022";"Haarlemmerbuurt-Oost";"       0"
"1.4.7 Overval";"2023";"Haarlemmerbuurt-Oost";"       0"
"1.4.7 Overval";"2012";"Jordaan";"       6"
"1.4.7 Overval";"2013";"Jordaan";"       2"
"1.4.7 Overval";"2014";"Jordaan";"       4"
"1.4.7 Overval";"2015";"Jordaan";"       5"
"1.4.7 Overval";"2016";"Jordaan";"       0"
"1.4.7 Overval";"2017";"Jordaan";"       2"
"1.4.7 Overval";"2018";"Jordaan";"       4"
"1.4.7 Overval";"2019";"Jordaan";"       1"
"1.4.7 Overval";"2020";"Jordaan";"       1"
"1.4.7 Overval";"2021";"Jordaan";"       0"
"1.4.7 Overval";"2022";"Jordaan";"       1"
"1.4.7 Overval";"2023";"Jordaan";"       2"
"1.4.7 Overval";"2012";"Marnixbuurt-Noord";"       1"
"1.4.7 Overval";"2013";"Marnixbuurt-Noord";"       0"
"1.4.7 Overval";"2014";"Marnixbuurt-Noord";"       0"
"1.4.7 Overval";"2015";"Marnixbuurt-Noord";"       1"
"1.4.7 Overval";"2016";"Marnixbuurt-Noord";"       0"
"1.4.7 Overval";"2017";"Marnixbuurt-Noord";"       0"
"1.4.7 Overval";"2018";"Marnixbuurt-Noord";"       0"
"1.4.7 Overval";"2019";"Marnixbuurt-Noord";"       0"
"1.4.7 Overval";"2020";"Marnixbuurt-Noord";"       0"
"1.4.7 Overval";"2021";"Marnixbuurt-Noord";"       0"
"1.4.7 Overval";"2022";"Marnixbuurt-Noord";"       0"
"1.4.7 Overval";"2023";"Marnixbuurt-Noord";"       2"
"1.4.7 Overval";"2012";"Driehoekbuurt";"       0"
"1.4.7 Overval";"2013";"Driehoekbuurt";"       1"
"1.4.7 Overval";"2014";"Driehoekbuurt";"       0"
"1.4.7 Overval";"2015";"Driehoekbuurt";"       0"
"1.4.7 Overval";"2016";"Driehoekbuurt";"       0"
"1.4.7 Overval";"2017";"Driehoekbuurt";"       1"
"1.4.7 Overval";"2018";"Driehoekbuurt";"       1"
"1.4.7 Overval";"2019";"Driehoekbuurt";"       0"
"1.4.7 Overval";"2020";"Driehoekbuurt";"       0"
"1.4.7 Overval";"2021";"Driehoekbuurt";"       0"
"1.4.7 Overval";"2022";"Driehoekbuurt";"       0"
"1.4.7 Overval";"2023";"Driehoekbuurt";"       0"
"1.4.7 Overval";"2012";"Anjeliersbuurt-Noord";"       2"
"1.4.7 Overval";"2013";"Anjeliersbuurt-Noord";"       0"
"1.4.7 Overval";"2014";"Anjeliersbuurt-Noord";"       1"
"1.4.7 Overval";"2015";"Anjeliersbuurt-Noord";"       1"
"1.4.7 Overval";"2016";"Anjeliersbuurt-Noord";"       0"
"1.4.7 Overval";"2017";"Anjeliersbuurt-Noord";"       0"
"1.4.7 Overval";"2018";"Anjeliersbuurt-Noord";"       0"
"1.4.7 Overval";"2019";"Anjeliersbuurt-Noord";"       1"
"1.4.7 Overval";"2020";"Anjeliersbuurt-Noord";"       0"
"1.4.7 Overval";"2021";"Anjeliersbuurt-Noord";"       0"
"1.4.7 Overval";"2022";"Anjeliersbuurt-Noord";"       1"
"1.4.7 Overval";"2023";"Anjeliersbuurt-Noord";"       0"
"1.4.7 Overval";"2012";"Zaagpoortbuurt";"       0"
"1.4.7 Overval";"2013";"Zaagpoortbuurt";"       0"
"1.4.7 Overval";"2014";"Zaagpoortbuurt";"       0"
"1.4.7 Overval";"2015";"Zaagpoortbuurt";"       0"
"1.4.7 Overval";"2016";"Zaagpoortbuurt";"       0"
"1.4.7 Overval";"2017";"Zaagpoortbuurt";"       0"
"1.4.7 Overval";"2018";"Zaagpoortbuurt";"       0"
"1.4.7 Overval";"2019";"Zaagpoortbuurt";"       0"
"1.4.7 Overval";"2020";"Zaagpoortbuurt";"       1"
"1.4.7 Overval";"2021";"Zaagpoortbuurt";"       0"
"1.4.7 Overval";"2022";"Zaagpoortbuurt";"       0"
"1.4.7 Overval";"2023";"Zaagpoortbuurt";"       0"
"1.4.7 Overval";"2012";"Anjeliersbuurt-Zuid";"       0"
"1.4.7 Overval";"2013";"Anjeliersbuurt-Zuid";"       0"
"1.4.7 Overval";"2014";"Anjeliersbuurt-Zuid";"       0"
"1.4.7 Overval";"2015";"Anjeliersbuurt-Zuid";"       2"
"1.4.7 Overval";"2016";"Anjeliersbuurt-Zuid";"       0"
"1.4.7 Overval";"2017";"Anjeliersbuurt-Zuid";"       0"
"1.4.7 Overval";"2018";"Anjeliersbuurt-Zuid";"       1"
"1.4.7 Overval";"2019";"Anjeliersbuurt-Zuid";"       0"
"1.4.7 Overval";"2020";"Anjeliersbuurt-Zuid";"       0"
"1.4.7 Overval";"2021";"Anjeliersbuurt-Zuid";"       0"
"1.4.7 Overval";"2022";"Anjeliersbuurt-Zuid";"       0"
"1.4.7 Overval";"2023";"Anjeliersbuurt-Zuid";"       0"
"1.4.7 Overval";"2012";"Marnixbuurt-Midden";"       0"
"1.4.7 Overval";"2013";"Marnixbuurt-Midden";"       0"
"1.4.7 Overval";"2014";"Marnixbuurt-Midden";"       0"
"1.4.7 Overval";"2015";"Marnixbuurt-Midden";"       0"
"1.4.7 Overval";"2016";"Marnixbuurt-Midden";"       0"
"1.4.7 Overval";"2017";"Marnixbuurt-Midden";"       0"
"1.4.7 Overval";"2018";"Marnixbuurt-Midden";"       0"
"1.4.7 Overval";"2019";"Marnixbuurt-Midden";"       0"
"1.4.7 Overval";"2020";"Marnixbuurt-Midden";"       0"
"1.4.7 Overval";"2021";"Marnixbuurt-Midden";"       0"
