"Soort misdrijf";"Perioden";"Wijken en buurten";"Geregistreerde misdrijven (aantal)"
"2.5.2 Winkeldiefstal";"2012";"Amsterdam";"    5345"
"2.5.2 Winkeldiefstal";"2013";"Amsterdam";"    4882"
"2.5.2 Winkeldiefstal";"2014";"Amsterdam";"    4758"
"2.5.2 Winkeldiefstal";"2015";"Amsterdam";"    4530"
"2.5.2 Winkeldiefstal";"2016";"Amsterdam";"    4574"
"2.5.2 Winkeldiefstal";"2017";"Amsterdam";"    4664"
"2.5.2 Winkeldiefstal";"2018";"Amsterdam";"    4867"
"2.5.2 Winkeldiefstal";"2019";"Amsterdam";"    5363"
"2.5.2 Winkeldiefstal";"2020";"Amsterdam";"    3750"
"2.5.2 Winkeldiefstal";"2021";"Amsterdam";"    3291"
"2.5.2 Winkeldiefstal";"2022";"Amsterdam";"    4013"
"2.5.2 Winkeldiefstal";"2023";"Amsterdam";"    4566"
"2.5.2 Winkeldiefstal";"2012";"Haarlemmerbuurt";"      28"
"2.5.2 Winkeldiefstal";"2013";"Haarlemmerbuurt";"      49"
"2.5.2 Winkeldiefstal";"2014";"Haarlemmerbuurt";"      42"
"2.5.2 Winkeldiefstal";"2015";"Haarlemmerbuurt";"      86"
"2.5.2 Winkeldiefstal";"2016";"Haarlemmerbuurt";"     231"
"2.5.2 Winkeldiefstal";"2017";"Haarlemmerbuurt";"     202"
"2.5.2 Winkeldiefstal";"2018";"Haarlemmerbuurt";"     162"
"2.5.2 Winkeldiefstal";"2019";"Haarlemmerbuurt";"     138"
"2.5.2 Winkeldiefstal";"2020";"Haarlemmerbuurt";"      72"
"2.5.2 Winkeldiefstal";"2021";"Haarlemmerbuurt";"      40"
"2.5.2 Winkeldiefstal";"2022";"Haarlemmerbuurt";"      33"
"2.5.2 Winkeldiefstal";"2023";"Haarlemmerbuurt";"      47"
"2.5.2 Winkeldiefstal";"2012";"Planciusbuurt-Noord";"       0"
"2.5.2 Winkeldiefstal";"2013";"Planciusbuurt-Noord";"       0"
"2.5.2 Winkeldiefstal";"2014";"Planciusbuurt-Noord";"       0"
"2.5.2 Winkeldiefstal";"2015";"Planciusbuurt-Noord";"       0"
"2.5.2 Winkeldiefstal";"2016";"Planciusbuurt-Noord";"       0"
"2.5.2 Winkeldiefstal";"2017";"Planciusbuurt-Noord";"       0"
"2.5.2 Winkeldiefstal";"2018";"Planciusbuurt-Noord";"       0"
"2.5.2 Winkeldiefstal";"2019";"Planciusbuurt-Noord";"       0"
"2.5.2 Winkeldiefstal";"2020";"Planciusbuurt-Noord";"       0"
"2.5.2 Winkeldiefstal";"2021";"Planciusbuurt-Noord";"       0"
"2.5.2 Winkeldiefstal";"2022";"Planciusbuurt-Noord";"       0"
"2.5.2 Winkeldiefstal";"2023";"Planciusbuurt-Noord";"       0"
"2.5.2 Winkeldiefstal";"2012";"Westelijke eilanden";"       0"
"2.5.2 Winkeldiefstal";"2013";"Westelijke eilanden";"       0"
"2.5.2 Winkeldiefstal";"2014";"Westelijke eilanden";"       1"
"2.5.2 Winkeldiefstal";"2015";"Westelijke eilanden";"       0"
"2.5.2 Winkeldiefstal";"2016";"Westelijke eilanden";"       0"
"2.5.2 Winkeldiefstal";"2017";"Westelijke eilanden";"       0"
"2.5.2 Winkeldiefstal";"2018";"Westelijke eilanden";"       0"
"2.5.2 Winkeldiefstal";"2019";"Westelijke eilanden";"       0"
"2.5.2 Winkeldiefstal";"2020";"Westelijke eilanden";"       0"
"2.5.2 Winkeldiefstal";"2021";"Westelijke eilanden";"       0"
"2.5.2 Winkeldiefstal";"2022";"Westelijke eilanden";"       0"
"2.5.2 Winkeldiefstal";"2023";"Westelijke eilanden";"       0"
"2.5.2 Winkeldiefstal";"2012";"Westerdokseiland";"       0"
"2.5.2 Winkeldiefstal";"2013";"Westerdokseiland";"       0"
"2.5.2 Winkeldiefstal";"2014";"Westerdokseiland";"       0"
"2.5.2 Winkeldiefstal";"2015";"Westerdokseiland";"       1"
"2.5.2 Winkeldiefstal";"2016";"Westerdokseiland";"       2"
"2.5.2 Winkeldiefstal";"2017";"Westerdokseiland";"       0"
"2.5.2 Winkeldiefstal";"2018";"Westerdokseiland";"       0"
"2.5.2 Winkeldiefstal";"2019";"Westerdokseiland";"       0"
"2.5.2 Winkeldiefstal";"2020";"Westerdokseiland";"       1"
"2.5.2 Winkeldiefstal";"2021";"Westerdokseiland";"       0"
"2.5.2 Winkeldiefstal";"2022";"Westerdokseiland";"       0"
"2.5.2 Winkeldiefstal";"2023";"Westerdokseiland";"       0"
"2.5.2 Winkeldiefstal";"2012";"Planciusbuurt-Zuid";"       0"
"2.5.2 Winkeldiefstal";"2013";"Planciusbuurt-Zuid";"       0"
"2.5.2 Winkeldiefstal";"2014";"Planciusbuurt-Zuid";"       0"
"2.5.2 Winkeldiefstal";"2015";"Planciusbuurt-Zuid";"       0"
"2.5.2 Winkeldiefstal";"2016";"Planciusbuurt-Zuid";"       2"
"2.5.2 Winkeldiefstal";"2017";"Planciusbuurt-Zuid";"       0"
"2.5.2 Winkeldiefstal";"2018";"Planciusbuurt-Zuid";"       0"
"2.5.2 Winkeldiefstal";"2019";"Planciusbuurt-Zuid";"       0"
"2.5.2 Winkeldiefstal";"2020";"Planciusbuurt-Zuid";"       0"
"2.5.2 Winkeldiefstal";"2021";"Planciusbuurt-Zuid";"       0"
"2.5.2 Winkeldiefstal";"2022";"Planciusbuurt-Zuid";"       0"
"2.5.2 Winkeldiefstal";"2023";"Planciusbuurt-Zuid";"       0"
"2.5.2 Winkeldiefstal";"2012";"Haarlemmerbuurt-West";"      26"
"2.5.2 Winkeldiefstal";"2013";"Haarlemmerbuurt-West";"      43"
"2.5.2 Winkeldiefstal";"2014";"Haarlemmerbuurt-West";"      34"
"2.5.2 Winkeldiefstal";"2015";"Haarlemmerbuurt-West";"      75"
"2.5.2 Winkeldiefstal";"2016";"Haarlemmerbuurt-West";"     216"
"2.5.2 Winkeldiefstal";"2017";"Haarlemmerbuurt-West";"     196"
"2.5.2 Winkeldiefstal";"2018";"Haarlemmerbuurt-West";"     152"
"2.5.2 Winkeldiefstal";"2019";"Haarlemmerbuurt-West";"     129"
"2.5.2 Winkeldiefstal";"2020";"Haarlemmerbuurt-West";"      65"
"2.5.2 Winkeldiefstal";"2021";"Haarlemmerbuurt-West";"      36"
"2.5.2 Winkeldiefstal";"2022";"Haarlemmerbuurt-West";"      28"
"2.5.2 Winkeldiefstal";"2023";"Haarlemmerbuurt-West";"      46"
"2.5.2 Winkeldiefstal";"2012";"Haarlemmerbuurt-Oost";"       2"
"2.5.2 Winkeldiefstal";"2013";"Haarlemmerbuurt-Oost";"       6"
"2.5.2 Winkeldiefstal";"2014";"Haarlemmerbuurt-Oost";"       7"
"2.5.2 Winkeldiefstal";"2015";"Haarlemmerbuurt-Oost";"      10"
"2.5.2 Winkeldiefstal";"2016";"Haarlemmerbuurt-Oost";"      11"
"2.5.2 Winkeldiefstal";"2017";"Haarlemmerbuurt-Oost";"       6"
"2.5.2 Winkeldiefstal";"2018";"Haarlemmerbuurt-Oost";"      10"
"2.5.2 Winkeldiefstal";"2019";"Haarlemmerbuurt-Oost";"       9"
"2.5.2 Winkeldiefstal";"2020";"Haarlemmerbuurt-Oost";"       6"
"2.5.2 Winkeldiefstal";"2021";"Haarlemmerbuurt-Oost";"       4"
"2.5.2 Winkeldiefstal";"2022";"Haarlemmerbuurt-Oost";"       5"
"2.5.2 Winkeldiefstal";"2023";"Haarlemmerbuurt-Oost";"       1"
"2.5.2 Winkeldiefstal";"2012";"Jordaan";"      43"
"2.5.2 Winkeldiefstal";"2013";"Jordaan";"      41"
"2.5.2 Winkeldiefstal";"2014";"Jordaan";"      37"
"2.5.2 Winkeldiefstal";"2015";"Jordaan";"      33"
"2.5.2 Winkeldiefstal";"2016";"Jordaan";"      21"
"2.5.2 Winkeldiefstal";"2017";"Jordaan";"      34"
"2.5.2 Winkeldiefstal";"2018";"Jordaan";"      53"
"2.5.2 Winkeldiefstal";"2019";"Jordaan";"      68"
"2.5.2 Winkeldiefstal";"2020";"Jordaan";"      39"
"2.5.2 Winkeldiefstal";"2021";"Jordaan";"      17"
"2.5.2 Winkeldiefstal";"2022";"Jordaan";"      36"
"2.5.2 Winkeldiefstal";"2023";"Jordaan";"      24"
"2.5.2 Winkeldiefstal";"2012";"Marnixbuurt-Noord";"       1"
"2.5.2 Winkeldiefstal";"2013";"Marnixbuurt-Noord";"       0"
"2.5.2 Winkeldiefstal";"2014";"Marnixbuurt-Noord";"       0"
"2.5.2 Winkeldiefstal";"2015";"Marnixbuurt-Noord";"       0"
"2.5.2 Winkeldiefstal";"2016";"Marnixbuurt-Noord";"       0"
"2.5.2 Winkeldiefstal";"2017";"Marnixbuurt-Noord";"       0"
"2.5.2 Winkeldiefstal";"2018";"Marnixbuurt-Noord";"       0"
"2.5.2 Winkeldiefstal";"2019";"Marnixbuurt-Noord";"       0"
"2.5.2 Winkeldiefstal";"2020";"Marnixbuurt-Noord";"       0"
"2.5.2 Winkeldiefstal";"2021";"Marnixbuurt-Noord";"       0"
"2.5.2 Winkeldiefstal";"2022";"Marnixbuurt-Noord";"       0"
"2.5.2 Winkeldiefstal";"2023";"Marnixbuurt-Noord";"       0"
"2.5.2 Winkeldiefstal";"2012";"Driehoekbuurt";"       0"
"2.5.2 Winkeldiefstal";"2013";"Driehoekbuurt";"       1"
"2.5.2 Winkeldiefstal";"2014";"Driehoekbuurt";"       0"
"2.5.2 Winkeldiefstal";"2015";"Driehoekbuurt";"       0"
"2.5.2 Winkeldiefstal";"2016";"Driehoekbuurt";"       0"
"2.5.2 Winkeldiefstal";"2017";"Driehoekbuurt";"       0"
"2.5.2 Winkeldiefstal";"2018";"Driehoekbuurt";"       0"
"2.5.2 Winkeldiefstal";"2019";"Driehoekbuurt";"       0"
"2.5.2 Winkeldiefstal";"2020";"Driehoekbuurt";"       2"
"2.5.2 Winkeldiefstal";"2021";"Driehoekbuurt";"       0"
"2.5.2 Winkeldiefstal";"2022";"Driehoekbuurt";"       1"
"2.5.2 Winkeldiefstal";"2023";"Driehoekbuurt";"       0"
"2.5.2 Winkeldiefstal";"2012";"Anjeliersbuurt-Noord";"       4"
"2.5.2 Winkeldiefstal";"2013";"Anjeliersbuurt-Noord";"       3"
"2.5.2 Winkeldiefstal";"2014";"Anjeliersbuurt-Noord";"      19"
"2.5.2 Winkeldiefstal";"2015";"Anjeliersbuurt-Noord";"      11"
"2.5.2 Winkeldiefstal";"2016";"Anjeliersbuurt-Noord";"       7"
"2.5.2 Winkeldiefstal";"2017";"Anjeliersbuurt-Noord";"      11"
"2.5.2 Winkeldiefstal";"2018";"Anjeliersbuurt-Noord";"       8"
"2.5.2 Winkeldiefstal";"2019";"Anjeliersbuurt-Noord";"       6"
"2.5.2 Winkeldiefstal";"2020";"Anjeliersbuurt-Noord";"       2"
"2.5.2 Winkeldiefstal";"2021";"Anjeliersbuurt-Noord";"       0"
"2.5.2 Winkeldiefstal";"2022";"Anjeliersbuurt-Noord";"       2"
"2.5.2 Winkeldiefstal";"2023";"Anjeliersbuurt-Noord";"       1"
"2.5.2 Winkeldiefstal";"2012";"Zaagpoortbuurt";"       1"
"2.5.2 Winkeldiefstal";"2013";"Zaagpoortbuurt";"       0"
"2.5.2 Winkeldiefstal";"2014";"Zaagpoortbuurt";"       0"
"2.5.2 Winkeldiefstal";"2015";"Zaagpoortbuurt";"       1"
"2.5.2 Winkeldiefstal";"2016";"Zaagpoortbuurt";"       0"
"2.5.2 Winkeldiefstal";"2017";"Zaagpoortbuurt";"       0"
"2.5.2 Winkeldiefstal";"2018";"Zaagpoortbuurt";"       0"
"2.5.2 Winkeldiefstal";"2019";"Zaagpoortbuurt";"       0"
"2.5.2 Winkeldiefstal";"2020";"Zaagpoortbuurt";"       0"
"2.5.2 Winkeldiefstal";"2021";"Zaagpoortbuurt";"       0"
"2.5.2 Winkeldiefstal";"2022";"Zaagpoortbuurt";"       0"
"2.5.2 Winkeldiefstal";"2023";"Zaagpoortbuurt";"       0"
"2.5.2 Winkeldiefstal";"2012";"Anjeliersbuurt-Zuid";"      14"
"2.5.2 Winkeldiefstal";"2013";"Anjeliersbuurt-Zuid";"      13"
"2.5.2 Winkeldiefstal";"2014";"Anjeliersbuurt-Zuid";"       4"
"2.5.2 Winkeldiefstal";"2015";"Anjeliersbuurt-Zuid";"       4"
"2.5.2 Winkeldiefstal";"2016";"Anjeliersbuurt-Zuid";"       3"
"2.5.2 Winkeldiefstal";"2017";"Anjeliersbuurt-Zuid";"       6"
"2.5.2 Winkeldiefstal";"2018";"Anjeliersbuurt-Zuid";"       9"
"2.5.2 Winkeldiefstal";"2019";"Anjeliersbuurt-Zuid";"       4"
"2.5.2 Winkeldiefstal";"2020";"Anjeliersbuurt-Zuid";"       6"
"2.5.2 Winkeldiefstal";"2021";"Anjeliersbuurt-Zuid";"       0"
"2.5.2 Winkeldiefstal";"2022";"Anjeliersbuurt-Zuid";"       5"
"2.5.2 Winkeldiefstal";"2023";"Anjeliersbuurt-Zuid";"       5"
"2.5.2 Winkeldiefstal";"2012";"Marnixbuurt-Midden";"       0"
"2.5.2 Winkeldiefstal";"2013";"Marnixbuurt-Midden";"       0"
"2.5.2 Winkeldiefstal";"2014";"Marnixbuurt-Midden";"       0"
"2.5.2 Winkeldiefstal";"2015";"Marnixbuurt-Midden";"       0"
"2.5.2 Winkeldiefstal";"2016";"Marnixbuurt-Midden";"       0"
"2.5.2 Winkeldiefstal";"2017";"Marnixbuurt-Midden";"       0"
"2.5.2 Winkeldiefstal";"2018";"Marnixbuurt-Midden";"       0"
"2.5.2 Winkeldiefstal";"2019";"Marnixbuurt-Midden";"       0"
"2.5.2 Winkeldiefstal";"2020";"Marnixbuurt-Midden";"       0"
"2.5.2 Winkeldiefstal";"2021";"Marnixbuurt-Midden";"       0"
"2.5.2 Winkeldiefstal";"2022";"Marnixbuurt-Midden";"       0"
"2.5.2 Winkeldiefstal";"2023";"Marnixbuurt-Midden";"       0"
"2.5.2 Winkeldiefstal";"2012";"Bloemgrachtbuurt";"       3"
"2.5.2 Winkeldiefstal";"2013";"Bloemgrachtbuurt";"       2"
"2.5.2 Winkeldiefstal";"2014";"Bloemgrachtbuurt";"       3"
"2.5.2 Winkeldiefstal";"2015";"Bloemgrachtbuurt";"       1"
"2.5.2 Winkeldiefstal";"2016";"Bloemgrachtbuurt";"       1"
"2.5.2 Winkeldiefstal";"2017";"Bloemgrachtbuurt";"       1"
"2.5.2 Winkeldiefstal";"2018";"Bloemgrachtbuurt";"       0"
"2.5.2 Winkeldiefstal";"2019";"Bloemgrachtbuurt";"       3"
"2.5.2 Winkeldiefstal";"2020";"Bloemgrachtbuurt";"       4"
"2.5.2 Winkeldiefstal";"2021";"Bloemgrachtbuurt";"       0"
"2.5.2 Winkeldiefstal";"2022";"Bloemgrachtbuurt";"       0"
"2.5.2 Winkeldiefstal";"2023";"Bloemgrachtbuurt";"       0"
"2.5.2 Winkeldiefstal";"2012";"Groenmarktkadebuurt";"       1"
"2.5.2 Winkeldiefstal";"2013";"Groenmarktkadebuurt";"       0"
"2.5.2 Winkeldiefstal";"2014";"Groenmarktkadebuurt";"       0"
"2.5.2 Winkeldiefstal";"2015";"Groenmarktkadebuurt";"       1"
"2.5.2 Winkeldiefstal";"2016";"Groenmarktkadebuurt";"       1"
"2.5.2 Winkeldiefstal";"2017";"Groenmarktkadebuurt";"       0"
"2.5.2 Winkeldiefstal";"2018";"Groenmarktkadebuurt";"       0"
"2.5.2 Winkeldiefstal";"2019";"Groenmarktkadebuurt";"       1"
"2.5.2 Winkeldiefstal";"2020";"Groenmarktkadebuurt";"       3"
"2.5.2 Winkeldiefstal";"2021";"Groenmarktkadebuurt";"       0"
"2.5.2 Winkeldiefstal";"2022";"Groenmarktkadebuurt";"       1"
"2.5.2 Winkeldiefstal";"2023";"Groenmarktkadebuurt";"       2"
"2.5.2 Winkeldiefstal";"2012";"Marnixbuurt-Zuid";"       0"
"2.5.2 Winkeldiefstal";"2013";"Marnixbuurt-Zuid";"       1"
"2.5.2 Winkeldiefstal";"2014";"Marnixbuurt-Zuid";"       1"
"2.5.2 Winkeldiefstal";"2015";"Marnixbuurt-Zuid";"       0"
"2.5.2 Winkeldiefstal";"2016";"Marnixbuurt-Zuid";"       0"
"2.5.2 Winkeldiefstal";"2017";"Marnixbuurt-Zuid";"       1"
"2.5.2 Winkeldiefstal";"2018";"Marnixbuurt-Zuid";"       0"
"2.5.2 Winkeldiefstal";"2019";"Marnixbuurt-Zuid";"       1"
"2.5.2 Winkeldiefstal";"2020";"Marnixbuurt-Zuid";"       0"
"2.5.2 Winkeldiefstal";"2021";"Marnixbuurt-Zuid";"       0"
"2.5.2 Winkeldiefstal";"2022";"Marnixbuurt-Zuid";"       0"
"2.5.2 Winkeldiefstal";"2023";"Marnixbuurt-Zuid";"       0"
"2.5.2 Winkeldiefstal";"2012";"Elandsgrachtbuurt";"      18"
"2.5.2 Winkeldiefstal";"2013";"Elandsgrachtbuurt";"      21"
"2.5.2 Winkeldiefstal";"2014";"Elandsgrachtbuurt";"      10"
"2.5.2 Winkeldiefstal";"2015";"Elandsgrachtbuurt";"      15"
"2.5.2 Winkeldiefstal";"2016";"Elandsgrachtbuurt";"       9"
"2.5.2 Winkeldiefstal";"2017";"Elandsgrachtbuurt";"      15"
"2.5.2 Winkeldiefstal";"2018";"Elandsgrachtbuurt";"      36"
"2.5.2 Winkeldiefstal";"2019";"Elandsgrachtbuurt";"      53"
"2.5.2 Winkeldiefstal";"2020";"Elandsgrachtbuurt";"      21"
"2.5.2 Winkeldiefstal";"2021";"Elandsgrachtbuurt";"      17"
"2.5.2 Winkeldiefstal";"2022";"Elandsgrachtbuurt";"      27"
"2.5.2 Winkeldiefstal";"2023";"Elandsgrachtbuurt";"      16"
"2.5.2 Winkeldiefstal";"2012";"Passeerdersgrachtbuurt";"       1"
"2.5.2 Winkeldiefstal";"2013";"Passeerdersgrachtbuurt";"       0"
"2.5.2 Winkeldiefstal";"2014";"Passeerdersgrachtbuurt";"       0"
"2.5.2 Winkeldiefstal";"2015";"Passeerdersgrachtbuurt";"       0"
"2.5.2 Winkeldiefstal";"2016";"Passeerdersgrachtbuurt";"       0"
"2.5.2 Winkeldiefstal";"2017";"Passeerdersgrachtbuurt";"       0"
"2.5.2 Winkeldiefstal";"2018";"Passeerdersgrachtbuurt";"       0"
"2.5.2 Winkeldiefstal";"2019";"Passeerdersgrachtbuurt";"       0"
"2.5.2 Winkeldiefstal";"2020";"Passeerdersgrachtbuurt";"       1"
"2.5.2 Winkeldiefstal";"2021";"Passeerdersgrachtbuurt";"       0"
"2.5.2 Winkeldiefstal";"2022";"Passeerdersgrachtbuurt";"       0"
"2.5.2 Winkeldiefstal";"2023";"Passeerdersgrachtbuurt";"       0"
"2.5.2 Winkeldiefstal";"2012";"Grachtengordel-West";"      43"
"2.5.2 Winkeldiefstal";"2013";"Grachtengordel-West";"      22"
"2.5.2 Winkeldiefstal";"2014";"Grachtengordel-West";"      26"
"2.5.2 Winkeldiefstal";"2015";"Grachtengordel-West";"      27"
"2.5.2 Winkeldiefstal";"2016";"Grachtengordel-West";"      33"
"2.5.2 Winkeldiefstal";"2017";"Grachtengordel-West";"      22"
